station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,1,oracle_ramp_mondrian,combined_outage,up,87,0.9310344827586207,0.0,48.484375,0.3729567229747772,54.49177169799805
CSGS2,q1_2020,1,oracle_ramp_mondrian,irradiance_outage,down,96,0.8645833333333334,0.03541666666666665,48.14805603027344,0.37036967277526855,60.26904296875
CSGS2,q1_2020,1,oracle_ramp_mondrian,irradiance_outage,up,87,0.8850574712643678,0.014942528735632177,46.46635437011719,0.3574334979057312,56.17395782470703
CSGS2,q1_2020,1,oracle_ramp_mondrian,recent_power_outage,down,96,0.875,0.025000000000000022,51.213623046875,0.3939509391784668,67.77408599853516
CSGS2,q1_2020,1,oracle_ramp_mondrian,recent_power_outage,up,87,0.8620689655172413,0.037931034482758696,46.280277252197266,0.3560021221637726,57.49470138549805
CSGS2,q1_2020,1,oracle_ramp_mondrian,weather_outage,down,96,0.90625,0.0,46.22382736206055,0.35556790232658386,58.7611083984375
CSGS2,q1_2020,1,oracle_ramp_mondrian,weather_outage,up,87,0.8505747126436781,0.0494252873563219,44.38152313232422,0.3413963317871094,56.396087646484375
CSGS2,q1_2020,1,persistence_condition_cqr,clean,down,96,0.0,0.9,19.494064331054688,0.14995433390140533,208.46856689453125
CSGS2,q1_2020,1,persistence_condition_cqr,clean,up,87,0.0,0.9,19.367483139038086,0.14898063242435455,209.78634643554688
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,down,96,0.875,0.025000000000000022,96.54425048828125,0.7426480650901794,121.4595947265625
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,up,87,0.8390804597701149,0.060919540229885105,75.66925048828125,0.5820711851119995,102.27608489990234
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,down,96,0.0,0.9,19.494064331054688,0.14995433390140533,208.46856689453125
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,up,87,0.0,0.9,19.367483139038086,0.14898063242435455,209.78634643554688
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,down,96,0.875,0.025000000000000022,96.54425048828125,0.7426480650901794,121.4595947265625
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,up,87,0.8390804597701149,0.060919540229885105,75.66925048828125,0.5820711851119995,102.27608489990234
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,down,96,0.0,0.9,19.494064331054688,0.14995433390140533,208.46856689453125
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,up,87,0.0,0.9,19.367483139038086,0.14898063242435455,209.78634643554688
CSGS2,q1_2020,1,robust_condition_cqr,clean,down,96,0.3854166666666667,0.5145833333333334,24.50645637512207,0.1885112076997757,111.5940933227539
CSGS2,q1_2020,1,robust_condition_cqr,clean,up,87,0.39080459770114945,0.5091954022988505,23.435104370117188,0.1802700310945511,105.6961898803711
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,down,96,0.65625,0.24375000000000002,34.53097915649414,0.26562291383743286,99.81378936767578
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,up,87,0.6091954022988506,0.2908045977011494,26.877002716064453,0.2067461758852005,79.64002227783203
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,down,96,0.3958333333333333,0.5041666666666667,26.827539443969727,0.2063656896352768,104.26058197021484
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,up,87,0.47126436781609193,0.4287356321839081,25.252758026123047,0.19425198435783386,97.50782012939453
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,down,96,0.5625,0.3375,32.07387161254883,0.24672208726406097,91.869873046875
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,up,87,0.47126436781609193,0.4287356321839081,26.801172256469727,0.20616286993026733,97.80892181396484
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,down,96,0.3541666666666667,0.5458333333333334,24.820863723754883,0.19092972576618195,112.4247817993164
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,up,87,0.41379310344827586,0.48620689655172417,23.109716415405273,0.1777670532464981,108.02014923095703
CSGS2,q1_2020,1,robust_local_cqr,clean,down,96,0.5729166666666666,0.3270833333333334,30.716079711914062,0.2362775355577469,85.47188568115234
CSGS2,q1_2020,1,robust_local_cqr,clean,up,87,0.5977011494252874,0.3022988505747126,31.004169464111328,0.23849360644817352,78.93598175048828
