station,fold,horizon_steps,method_base,condition,ramp_group,n_base,coverage_base,coverage_error_base,mean_width_base,median_width_base,interval_score_base,mae_base,rmse_base,undercoverage_error_base,overcoverage_error_base,normalized_width_base,normalized_interval_score_base,ramp_prevalence_base,method_local,n_local,coverage_local,coverage_error_local,mean_width_local,median_width_local,interval_score_local,mae_local,rmse_local,undercoverage_error_local,overcoverage_error_local,normalized_width_local,normalized_interval_score_local,ramp_prevalence_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
CSGS8,q2_2020,4,robust_condition_cqr,recent_power_outage,non_ramp,5582,0.932103188821211,0.03210318882121099,4.725469965731143,4.605812072753906,5.450238848841689,1.0224123262902551,1.5482432288796093,0.0,0.03210318882121099,0.15751566552437143,0.18167462829472297,,robust_local_cqr,5582,0.9562880687925475,0.05628806879254744,5.287435565544781,5.127960443496704,5.701168922631222,1.0224123262902551,1.5482432288796093,0.0,0.05628806879254744,0.17624785218482603,0.1900389640877074,,0.0,-0.024184879971336448,0.250930073789533,0.5619655998136377
CSGS8,q2_2020,4,robust_condition_cqr,recent_power_outage,ramp,178,0.8314606741573034,0.06853932584269662,7.48083440565996,7.149354726076126,10.433291362159038,2.0540803808174775,2.577626073519993,0.06853932584269662,0.0,0.24936114685533198,0.3477763787386346,0.03090277777777778,robust_local_cqr,178,0.9213483146067416,0.02134831460674158,8.393658682076113,8.25458574295044,9.393648138081424,2.0540803808174775,2.577626073519993,0.0,0.02134831460674158,0.27978862273587046,0.31312160460271415,0.03090277777777778,0.06853932584269662,0.04719101123595504,-1.0396432240776132,0.9128242764161536
CSGS8,q2_2020,4,robust_condition_cqr,weather_outage,non_ramp,5582,0.9263704765317091,0.026370476531709097,3.7275920668284037,3.538255214691162,4.511166049365474,0.814081057694426,1.255024930180834,0.0,0.026370476531709097,0.12425306889428013,0.1503722016455158,,robust_local_cqr,5582,0.9707989967753493,0.07079899677534929,4.415998633376964,4.193490713834763,4.650335707449099,0.814081057694426,1.255024930180834,0.0,0.07079899677534929,0.1471999544458988,0.15501119024830332,,0.0,-0.04442852024364019,0.1391696580836257,0.6884065665485606
CSGS8,q2_2020,4,robust_condition_cqr,weather_outage,ramp,178,0.7752808988764045,0.12471910112359552,5.713950846302375,5.528097152709961,9.384393566779876,1.639913625931472,2.176004745709582,0.12471910112359552,0.0,0.19046502821007918,0.3128131188926625,0.03090277777777778,robust_local_cqr,178,0.8932584269662921,0.006741573033707926,7.074656251022655,7.151596546173096,7.9324551166945625,1.639913625931472,2.176004745709582,0.006741573033707926,0.0,0.2358218750340885,0.2644151705564854,0.03090277777777778,0.1179775280898876,0.1179775280898876,-1.4519384500853132,1.3607054047202798
CSGS8,q3_2020,1,robust_condition_cqr,clean,non_ramp,5642,0.901453385324353,0.0014533853243530181,2.2402956337940036,2.1245933771133423,2.925058785567964,0.5470313057808026,0.8653534863034399,0.0,0.0014533853243530181,0.07467652112646679,0.09750195951893213,,robust_local_cqr,5642,0.9420418291386033,0.042041829138603326,2.5815755014548705,2.2629008144140244,2.8768239931034962,0.5470313057808026,0.8653534863034399,0.0,0.042041829138603326,0.08605251671516236,0.09589413310344988,,0.0,-0.04058844381425031,-0.04823479246446771,0.3412798676608668
CSGS8,q3_2020,1,robust_condition_cqr,clean,ramp,246,0.6219512195121951,0.2780487804878049,4.0687519573583835,4.073129177093506,9.2639589329076,1.7935038727473438,2.011216630429792,0.2780487804878049,0.0,0.13562506524527945,0.30879863109692,0.041779891304347824,robust_local_cqr,246,0.8048780487804879,0.09512195121951217,5.052038287244192,5.245302200317383,7.133359794209643,1.7935038727473438,2.011216630429792,0.09512195121951217,0.0,0.16840127624147305,0.23777865980698812,0.041779891304347824,0.18292682926829273,0.18292682926829273,-2.1305991386979573,0.9832863298858081
CSGS8,q3_2020,1,robust_condition_cqr,combined_outage,non_ramp,5642,0.9143920595533499,0.014392059553349879,3.06821249059013,2.9116016030311584,4.0288177466060935,0.7594301717962726,1.2210705491308023,0.0,0.014392059553349879,0.10227374968633766,0.13429392488686978,,robust_local_cqr,5642,0.9413328606876994,0.04133286068769937,3.3562344444986643,3.1216286420822144,3.9118647693509483,0.7594301717962726,1.2210705491308023,0.0,0.04133286068769937,0.11187448148328881,0.13039549231169828,,0.0,-0.02694080113434949,-0.1169529772551452,0.28802195390853447
CSGS8,q3_2020,1,robust_condition_cqr,combined_outage,ramp,246,0.6829268292682927,0.2170731707317073,5.370169210724715,4.765102386474609,10.137783164415902,1.7309583968263331,2.0669596639781784,0.2170731707317073,0.0,0.1790056403574905,0.3379261054805301,0.041779891304347824,robust_local_cqr,246,0.8252032520325203,0.0747967479674797,6.179477004500908,5.754725456237793,8.243113241544584,1.7309583968263331,2.0669596639781784,0.0747967479674797,0.0,0.20598256681669694,0.2747704413848195,0.041779891304347824,0.14227642276422758,0.14227642276422758,-1.8946699228713175,0.8093077937761937
CSGS8,q3_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5642,0.9106699751861043,0.010669975186104241,2.2650171353955706,2.170210838317871,2.943345625111934,0.5403535753476862,0.8656375446267317,0.0,0.010669975186104241,0.07550057117985236,0.09811152083706447,,robust_local_cqr,5642,0.9471818504076569,0.04718185040765688,2.5887234953341633,2.3127238154411316,2.90667687200213,0.5403535753476862,0.8656375446267317,0.0,0.04718185040765688,0.08629078317780545,0.09688922906673766,,0.0,-0.03651187522155264,-0.036668753109804,0.32370635993859276
CSGS8,q3_2020,1,robust_condition_cqr,irradiance_outage,ramp,246,0.6056910569105691,0.2943089430894309,4.207942679645569,4.163723945617676,9.249414370311953,1.8217788954091265,2.0342378902328604,0.2943089430894309,0.0,0.14026475598818564,0.3083138123437318,0.041779891304347824,robust_local_cqr,246,0.7926829268292683,0.10731707317073169,5.107261095589738,5.2188544273376465,7.214619035643291,1.8217788954091265,2.0342378902328604,0.10731707317073169,0.0,0.17024203651965794,0.2404873011881097,0.041779891304347824,0.1869918699186992,0.1869918699186992,-2.0347953346686625,0.899318415944169
