station,fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score
CSGS2,q4_2020,1,oracle_ramp_mondrian,0.0346153846153846,0.023223716581925524,0.23017322553630848,0.31854484265725397
CSGS2,q4_2020,1,persistence_condition_cqr,0.9,0.34712946257722377,0.26731770588931036,1.0710091727190232
CSGS2,q4_2020,1,robust_condition_cqr,0.4730769230769231,0.21959843638948118,0.16230233753037274,0.4444931131707035
CSGS2,q4_2020,1,robust_local_cqr,0.2692307692307693,0.15337406374719809,0.1966459860184837,0.38215289061665725
CSGS2,q4_2020,1,robust_risk_mondrian,0.3846153846153847,0.18377590071619926,0.17341713372104423,0.4144652521414109
CSGS2,q4_2020,1,robust_rolling_cqr,0.4730769230769231,0.2110885134765732,0.16275357864804121,0.44374546403865206
CSGS2,q4_2020,4,clean_condition_cqr,0.31558441558441563,0.10128880498165374,0.29381236090572627,0.5361793491609868
CSGS2,q4_2020,4,lgbm_condition_cqr,0.2935064935064935,0.08628649584100932,0.31024339429416153,0.4573898963124348
CSGS2,q4_2020,4,oracle_ramp_mondrian,0.05064935064935072,0.025640139461944867,0.23619710920947243,0.3375409222436115
CSGS2,q4_2020,4,persistence_condition_cqr,0.9,0.3778506721883041,0.41838349544681536,1.1921821906692103
CSGS2,q4_2020,4,robust_condition_cqr,0.24935064935064932,0.11048461503326686,0.19095964904398874,0.38829869792095184
CSGS2,q4_2020,4,robust_local_cqr,0.11298701298701297,0.06005496262237177,0.2311218967177428,0.35589365420410296
CSGS2,q4_2020,4,robust_risk_mondrian,0.1402597402597403,0.07592205762194039,0.21602267337361397,0.3631441944860049
CSGS2,q4_2020,4,robust_rolling_cqr,0.21818181818181825,0.1012761681460392,0.19399606046320175,0.3812201592765317
CSGS5,q1_2020,1,clean_condition_cqr,0.5796407185628742,0.19139017338987507,0.33159152765382316,0.7648512708703687
CSGS5,q1_2020,1,lgbm_condition_cqr,0.39401197604790417,0.14190657830246983,0.357104896083443,0.6616917724850512
CSGS5,q1_2020,1,oracle_ramp_mondrian,0.22947805456702253,0.03783188072254068,0.3518969263005115,0.48380053720659716
CSGS5,q1_2020,1,persistence_condition_cqr,0.9,0.36856152463755765,0.12333331244566097,1.2082985057930107
CSGS5,q1_2020,1,robust_condition_cqr,0.3401197604790419,0.16791903737009967,0.26761261700501526,0.5960203644068085
CSGS5,q1_2020,1,robust_local_cqr,0.22934131736526953,0.1342408066429419,0.30063269654135916,0.5423416474968187
CSGS5,q1_2020,1,robust_risk_mondrian,0.31317365269461084,0.16075169944807893,0.2736517757918808,0.5838269185188274
CSGS5,q1_2020,1,robust_rolling_cqr,0.3311377245508982,0.12865802203422336,0.3060215009601889,0.5550845172056749
CSGS5,q1_2020,4,clean_condition_cqr,0.2793738489871087,0.12401243093922654,0.3648239104305013,0.7728961286879887
CSGS5,q1_2020,4,lgbm_condition_cqr,0.3659300184162063,0.13478591160220996,0.3819492845407339,0.7139025337537914
CSGS5,q1_2020,4,oracle_ramp_mondrian,0.21975138121546967,0.04526703499079191,0.41767132932170936,0.5810647781015239
CSGS5,q1_2020,4,persistence_condition_cqr,0.9,0.4325943830570903,0.33825276785509745,1.1230469340512121
CSGS5,q1_2020,4,robust_condition_cqr,0.18522099447513818,0.09618554327808473,0.34885142827698057,0.6266852987639224
CSGS5,q1_2020,4,robust_local_cqr,0.15207182320441992,0.06616482504604052,0.38378060431722194,0.5866665922859081
CSGS5,q1_2020,4,robust_risk_mondrian,0.1665745856353591,0.07356353591160222,0.37475406838107533,0.6074721293536508
CSGS5,q1_2020,4,robust_rolling_cqr,0.15414364640883982,0.054546500920810315,0.392341487636357,0.59014402330557
CSGS5,q2_2020,1,clean_condition_cqr,0.4987841945288754,0.16225668843480093,0.37950396578185214,0.6908431846962867
CSGS5,q2_2020,1,lgbm_condition_cqr,0.33009118541033433,0.11058254837641816,0.40789570554259386,0.5904729968899696
CSGS5,q2_2020,1,oracle_ramp_mondrian,0.0003039513677811634,0.016264633302235987,0.3653409851820824,0.42083312764616887
CSGS5,q2_2020,1,persistence_condition_cqr,0.9,0.3233795028439014,0.17711284088759505,1.0608464745156465
CSGS5,q2_2020,1,robust_condition_cqr,0.36960486322188457,0.1534277287911162,0.2879555449626309,0.5231889588117754
CSGS5,q2_2020,1,robust_local_cqr,0.19787234042553192,0.09956047428451051,0.3167866975568352,0.47689677525802365
CSGS5,q2_2020,1,robust_risk_mondrian,0.30881458966565356,0.1308621234463872,0.3047150718230265,0.4961255293430513
CSGS5,q2_2020,1,robust_rolling_cqr,0.3240121580547113,0.1547827199133287,0.28556045216300746,0.5156248600806489
CSGS5,q2_2020,4,clean_condition_cqr,0.3142640364188164,0.11628467487601982,0.4342353673688068,0.7383304103819078
CSGS5,q2_2020,4,lgbm_condition_cqr,0.18983308042488622,0.0743391878919762,0.46020386281359543,0.6338750917934528
CSGS5,q2_2020,4,oracle_ramp_mondrian,0.02898330804248861,0.019848689985268585,0.45069018745009687,0.5571688226676301
CSGS5,q2_2020,4,persistence_condition_cqr,0.5783004552352049,0.2521327815672643,0.4083082709419654,1.0234538050421447
CSGS5,q2_2020,4,robust_condition_cqr,0.2065250379362671,0.09646493206517907,0.39395956778857405,0.6254924490674398
CSGS5,q2_2020,4,robust_local_cqr,0.1579666160849773,0.07712967778241923,0.38926482369826854,0.5985038683441419
CSGS5,q2_2020,4,robust_risk_mondrian,0.16555386949924134,0.07526245209879098,0.39846302969525965,0.6007143248667492
CSGS5,q2_2020,4,robust_rolling_cqr,0.183763277693475,0.0870759688098828,0.37705706260401284,0.617352717609468
CSGS5,q3_2020,1,clean_condition_cqr,0.38469387755102047,0.1373197007210273,0.4040593727401651,0.6226810906151867
CSGS5,q3_2020,1,lgbm_condition_cqr,0.28775510204081634,0.1078162348314263,0.4044385438919199,0.565217422194268
CSGS5,q3_2020,1,oracle_ramp_mondrian,0.0,0.01809369279414209,0.3296672024019743,0.3935665869481898
CSGS5,q3_2020,1,persistence_condition_cqr,0.6244897959183674,0.2548295244208517,0.2402301424533848,0.7995761539389782
CSGS5,q3_2020,1,robust_condition_cqr,0.28095238095238095,0.14327063826029662,0.2569783977876544,0.4658089719415378
CSGS5,q3_2020,1,robust_local_cqr,0.17210884353741496,0.09631157005987617,0.2843041855587848,0.43328685692644087
CSGS5,q3_2020,1,robust_risk_mondrian,0.1925170068027211,0.10730384015813015,0.2750062991602457,0.44005439478878133
CSGS5,q3_2020,1,robust_rolling_cqr,0.2962585034013606,0.14707623938242298,0.2529018416011846,0.46965244749112295
CSGS5,q3_2020,4,clean_condition_cqr,0.2529411764705882,0.10128370897953935,0.433334641783663,0.6330815237140254
CSGS5,q3_2020,4,lgbm_condition_cqr,0.21878557874762805,0.06956643892599518,0.44659825912901685,0.5690828364054303
CSGS5,q3_2020,4,oracle_ramp_mondrian,0.0,0.01583852407635955,0.40250917664404773,0.4784233538174183
CSGS5,q3_2020,4,persistence_condition_cqr,0.581214421252372,0.266995008782282,0.41136947548210423,0.9880970901859317
CSGS5,q3_2020,4,robust_condition_cqr,0.17703984819734353,0.08717991946614931,0.3310571133198546,0.5203357594879701
CSGS5,q3_2020,4,robust_local_cqr,0.11631878557874764,0.0672839361032082,0.3551535959569277,0.49437406743920215
CSGS5,q3_2020,4,robust_risk_mondrian,0.13908918406072113,0.07335949424461621,0.34106146747874755,0.5094148896689297
CSGS5,q3_2020,4,robust_rolling_cqr,0.1941176470588235,0.09166356080886043,0.3176141008459147,0.530009817046009
CSGS5,q4_2020,1,clean_condition_cqr,0.5262626262626262,0.16772038295169964,0.3649046865415913,0.6374338668444012
CSGS5,q4_2020,1,lgbm_condition_cqr,0.3612794612794613,0.12585960434714885,0.37601940514500964,0.5638045716537918
CSGS5,q4_2020,1,oracle_ramp_mondrian,0.021886120996441272,0.013966653486226433,0.3183637008865387,0.4007978370878956
CSGS5,q4_2020,1,persistence_condition_cqr,0.6138047138047138,0.2899489557496675,0.23029772017315864,0.7458900059622723
CSGS5,q4_2020,1,robust_condition_cqr,0.368013468013468,0.1620678912493859,0.25262280729839626,0.484413513326534
CSGS5,q4_2020,1,robust_local_cqr,0.2535353535353535,0.12620810716896122,0.27361108751913865,0.4520230605689025
CSGS5,q4_2020,1,robust_risk_mondrian,0.27037037037037037,0.1277595048947362,0.26511048096459,0.46155001351062336
CSGS5,q4_2020,1,robust_rolling_cqr,0.368013468013468,0.15846723462381823,0.25297064804424507,0.48342431119219553
CSGS5,q4_2020,4,clean_condition_cqr,0.27344398340248965,0.09640257087510387,0.39782720642542485,0.5772508091460395
CSGS5,q4_2020,4,lgbm_condition_cqr,0.27759336099585064,0.08017726437564766,0.4172333706568955,0.5360388268735907
CSGS5,q4_2020,4,oracle_ramp_mondrian,0.03278008298755186,0.02644185526070093,0.3760050809412346,0.45462303587844016
CSGS5,q4_2020,4,persistence_condition_cqr,0.7236514522821577,0.37711557677203794,0.37016768389699295,1.0028704382331772
CSGS5,q4_2020,4,robust_condition_cqr,0.17178423236514528,0.08808758023294103,0.31730400985732576,0.4935077444086313
CSGS5,q4_2020,4,robust_local_cqr,0.11576763485477182,0.06564262612411641,0.3385076073361506,0.46855943780577675
CSGS5,q4_2020,4,robust_risk_mondrian,0.13029045643153525,0.07017469863203103,0.325037902640352,0.4830438796242964
CSGS5,q4_2020,4,robust_rolling_cqr,0.1904564315352697,0.08510257985520654,0.3160698198359523,0.4930183858758793
CSGS6,q1_2020,1,clean_condition_cqr,0.6021857923497268,0.1806078408993066,0.37492894017085293,0.7144235613110743
CSGS6,q1_2020,1,lgbm_condition_cqr,0.37814207650273224,0.10803064434419221,0.4049180145286476,0.5725467147447117
CSGS6,q1_2020,1,oracle_ramp_mondrian,0.061202185792349706,0.04637722338693691,0.2733345561091661,0.3782288294740223
CSGS6,q1_2020,1,persistence_condition_cqr,0.9,0.31217818332542396,0.3465537515145186,1.0820734075902525
CSGS6,q1_2020,1,robust_condition_cqr,0.37540983606557377,0.1860359386232071,0.1922093391550884,0.5188990267268404
CSGS6,q1_2020,1,robust_local_cqr,0.29890710382513663,0.16074674564032945,0.2144105592222143,0.47994377512153275
CSGS6,q1_2020,1,robust_risk_mondrian,0.3016393442622951,0.1685935519526158,0.20317039549610189,0.4943505621458689
CSGS6,q1_2020,1,robust_rolling_cqr,0.3699453551912568,0.1856019238817237,0.19638841774906018,0.5110945168899497
CSGS6,q1_2020,4,clean_condition_cqr,0.12280017338534899,0.059836466091342556,0.27952464399480853,0.43109400483950794
CSGS6,q1_2020,4,lgbm_condition_cqr,0.13753792804508025,0.060907299738130805,0.3343296793343867,0.4124992514031204
CSGS6,q1_2020,4,oracle_ramp_mondrian,0.029172084958820954,0.007449730787004649,0.19793809019540545,0.32308312781273424
CSGS6,q1_2020,4,persistence_condition_cqr,0.4090909090909091,0.18333121975160044,0.531714698654683,0.8252953463038292
CSGS6,q1_2020,4,robust_condition_cqr,0.06198347107438018,0.03890573783705359,0.1669859989761377,0.3316411894607906
CSGS6,q1_2020,4,robust_local_cqr,0.03057851239669429,0.033172665298212056,0.19673958783034226,0.31933623968696356
CSGS6,q1_2020,4,robust_risk_mondrian,0.04049586776859504,0.02580403873228083,0.1883086227249609,0.3279097641420184
CSGS6,q1_2020,4,robust_rolling_cqr,0.056198347107437985,0.038921679258598504,0.17168507561651786,0.3297458280599914
CSGS6,q2_2020,1,clean_condition_cqr,0.5652977412731006,0.1711365966698716,0.4029434000581755,0.6411338979964473
CSGS6,q2_2020,1,lgbm_condition_cqr,0.3989733059548255,0.11829676902057966,0.37297742838472836,0.5466778142131561
CSGS6,q2_2020,1,oracle_ramp_mondrian,0.012047967022671968,0.03422129575444601,0.3019589939219029,0.3493337055384241
CSGS6,q2_2020,1,persistence_condition_cqr,0.9,0.304437680614085,0.3660328519553423,0.9261632439736985
CSGS6,q2_2020,1,robust_condition_cqr,0.37433264887063655,0.16706426292909252,0.19492057202695162,0.44216375600719837
CSGS6,q2_2020,1,robust_local_cqr,0.23264887063655038,0.11837045552743067,0.22768920657282274,0.40175290573556416
CSGS6,q2_2020,1,robust_risk_mondrian,0.29630390143737173,0.12488786392619962,0.21878468089824493,0.40703223050125487
CSGS6,q2_2020,1,robust_rolling_cqr,0.36611909650924024,0.16788611833471262,0.19780706840223888,0.4385553823277079
CSGS6,q2_2020,4,clean_condition_cqr,0.2804945054945055,0.08379513343799058,0.3252558556165546,0.49140440652244005
CSGS6,q2_2020,4,lgbm_condition_cqr,0.15824175824175823,0.07610675039246466,0.3476117008761043,0.4364453731857287
CSGS6,q2_2020,4,oracle_ramp_mondrian,0.06071428571428572,0.03198587127158557,0.24188351549303913,0.3992627718283638
CSGS6,q2_2020,4,persistence_condition_cqr,0.38489010989010997,0.17298665620094192,0.5693468801004551,0.810723436413013
CSGS6,q2_2020,4,robust_condition_cqr,0.21181318681318684,0.09023940345368918,0.2051295964039666,0.4402579473360266
CSGS6,q2_2020,4,robust_local_cqr,0.12252747252747254,0.06165620094191523,0.24710860388971004,0.41187416322307335
CSGS6,q2_2020,4,robust_risk_mondrian,0.14587912087912092,0.06788461538461539,0.22295317762661515,0.4280989519970705
CSGS6,q2_2020,4,robust_rolling_cqr,0.18296703296703298,0.08787284144426999,0.2113356347058603,0.43455006304295096
CSGS6,q3_2020,1,clean_condition_cqr,0.5331658291457286,0.17108411078260324,0.35078093149032485,0.6372851450869133
