station,fold,horizon_steps,method,condition,ramp_group,n,coverage,coverage_error,mean_width,median_width,interval_score,mae,rmse,undercoverage_error,overcoverage_error,normalized_width,normalized_interval_score,ramp_prevalence
CSGS8,q3_2020,1,persistence_condition_cqr,irradiance_outage,ramp,246,0.0,0.9,3.6799999688698994,3.6800003051757812,40.26943095622024,3.6694715178109765,3.7095458285795413,0.9,0.0,0.12266666562899665,1.3423143652073413,0.041779891304347824
CSGS8,q3_2020,1,persistence_condition_cqr,recent_power_outage,non_ramp,5642,0.8514711095356257,0.048528890464374363,13.862132190120562,14.105000019073486,19.78864764011188,4.3900283554827055,5.772820051682214,0.048528890464374363,0.0,0.46207107300401873,0.6596215880037293,
CSGS8,q3_2020,1,persistence_condition_cqr,recent_power_outage,ramp,246,0.5853658536585366,0.31463414634146347,16.50512199321898,18.239999294281006,44.14577240127374,7.71081298044542,9.000396165375642,0.31463414634146347,0.0,0.5501707331072994,1.4715257467091247,0.041779891304347824
CSGS8,q3_2020,1,persistence_condition_cqr,weather_outage,non_ramp,5642,0.8934774902516838,0.006522509748316252,3.128339248086408,3.679999828338623,4.171338188927125,0.7224796102301358,1.039034200727934,0.006522509748316252,0.0,0.10427797493621359,0.13904460629757084,
CSGS8,q3_2020,1,persistence_condition_cqr,weather_outage,ramp,246,0.0,0.9,3.6799999688698994,3.6800003051757812,40.26943095622024,3.6694715178109765,3.7095458285795413,0.9,0.0,0.12266666562899665,1.3423143652073413,0.041779891304347824
CSGS8,q3_2020,1,robust_condition_cqr,clean,non_ramp,5642,0.901453385324353,0.0014533853243530181,2.2402956337940036,2.1245933771133423,2.925058785567964,0.5470313057808026,0.8653534863034399,0.0,0.0014533853243530181,0.07467652112646679,0.09750195951893213,
CSGS8,q3_2020,1,robust_condition_cqr,clean,ramp,246,0.6219512195121951,0.2780487804878049,4.0687519573583835,4.073129177093506,9.2639589329076,1.7935038727473438,2.011216630429792,0.2780487804878049,0.0,0.13562506524527945,0.30879863109692,0.041779891304347824
CSGS8,q3_2020,1,robust_condition_cqr,combined_outage,non_ramp,5642,0.9143920595533499,0.014392059553349879,3.06821249059013,2.9116016030311584,4.0288177466060935,0.7594301717962726,1.2210705491308023,0.0,0.014392059553349879,0.10227374968633766,0.13429392488686978,
CSGS8,q3_2020,1,robust_condition_cqr,combined_outage,ramp,246,0.6829268292682927,0.2170731707317073,5.370169210724715,4.765102386474609,10.137783164415902,1.7309583968263331,2.0669596639781784,0.2170731707317073,0.0,0.1790056403574905,0.3379261054805301,0.041779891304347824
CSGS8,q3_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5642,0.9106699751861043,0.010669975186104241,2.2650171353955706,2.170210838317871,2.943345625111934,0.5403535753476862,0.8656375446267317,0.0,0.010669975186104241,0.07550057117985236,0.09811152083706447,
CSGS8,q3_2020,1,robust_condition_cqr,irradiance_outage,ramp,246,0.6056910569105691,0.2943089430894309,4.207942679645569,4.163723945617676,9.249414370311953,1.8217788954091265,2.0342378902328604,0.2943089430894309,0.0,0.14026475598818564,0.3083138123437318,0.041779891304347824
CSGS8,q3_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5642,0.9244948599787309,0.02449485997873091,3.4464306301528653,3.3818248510360718,4.064714471086484,0.7579775359290505,1.1964129470008558,0.0,0.02449485997873091,0.11488102100509551,0.13549048236954947,
CSGS8,q3_2020,1,robust_condition_cqr,recent_power_outage,ramp,246,0.7276422764227642,0.17235772357723578,5.812769702779568,5.315958499908447,9.6836581569377,1.7133028303704612,1.9957618625214895,0.17235772357723578,0.0,0.19375899009265227,0.32278860523125663,0.041779891304347824
CSGS8,q3_2020,1,robust_condition_cqr,weather_outage,non_ramp,5642,0.9005671747607231,0.0005671747607230992,2.262002007750126,2.1671597063541412,2.959815765604841,0.551398307013397,0.8753091051576553,0.0,0.0005671747607230992,0.0754000669250042,0.09866052552016137,
CSGS8,q3_2020,1,robust_condition_cqr,weather_outage,ramp,246,0.6422764227642277,0.2577235772357723,4.12924399608519,4.102595329284668,8.976844746892045,1.7779231023013107,2.0127518313956188,0.2577235772357723,0.0,0.137641466536173,0.2992281582297348,0.041779891304347824
CSGS8,q3_2020,1,robust_local_cqr,clean,non_ramp,5642,0.9420418291386033,0.042041829138603326,2.5815755014548705,2.2629008144140244,2.8768239931034962,0.5470313057808026,0.8653534863034399,0.0,0.042041829138603326,0.08605251671516236,0.09589413310344988,
