station,horizon_steps,horizon_minutes,method,groups,folds,worst_group_undercoverage,q90_group_undercoverage,mean_group_absolute_coverage_error,mean_normalized_width,mean_normalized_interval_score,clean_normalized_interval_score,mean_mae
CSGS6,1,15,lgbm_condition_cqr,40,4,0.3989733059548255,0.3785824889756623,0.12171031468551012,0.37484998056261254,0.5627544360283222,0.4783375943661198,5.017819403804536
CSGS6,1,15,oracle_ramp_mondrian,40,4,0.061202185792349706,0.04535519125683067,0.03371544136305101,0.2868559285495091,0.3616627714520854,0.3406895022034816,2.735877143225571
CSGS6,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.32346436128586065,0.3468430172424032,0.9607487882758337,1.0129387576883881,5.137275328526331
CSGS6,1,15,robust_condition_cqr,40,4,0.3974874371859297,0.37371947456581156,0.18281998046543735,0.19973483180906096,0.48150541421413273,0.48374753807577836,2.735877143225571
CSGS6,1,15,robust_local_cqr,40,4,0.29890710382513663,0.2664473684210527,0.14047421788423092,0.22827532875080658,0.43724387691070377,0.4341807981514446,2.735877143225571
CSGS6,1,15,robust_risk_mondrian,40,4,0.3016393442622951,0.29126973440603227,0.1449485157146632,0.21978211129048048,0.4448419284427206,0.43625241776807233,2.735877143225571
CSGS6,1,15,robust_rolling_cqr,40,4,0.37368421052631584,0.36622849833372606,0.18092588268248858,0.20218793358830806,0.476945138594518,0.47950553472767843,2.735877143225571
CSGS6,4,60,clean_condition_cqr,40,4,0.37486033519553075,0.20769691202652105,0.07685450190289704,0.31423126923291883,0.480734840941022,0.46374374095018833,3.251584746919047
CSGS6,4,60,lgbm_condition_cqr,40,4,0.1723463687150838,0.13919622315266017,0.06622372968248148,0.34201683670138877,0.42681426540424494,0.38215102499976045,3.5525975447858515
CSGS6,4,60,oracle_ramp_mondrian,40,4,0.06550657385924208,0.05976411446249034,0.03174763299870653,0.2585177294032758,0.3710618441598532,0.36333351859167373,2.343516026838003
CSGS6,4,60,persistence_condition_cqr,40,4,0.7924581005586593,0.674468085106383,0.24598861725043136,0.515895071076498,0.9085340151840893,0.8717665039047577,7.684628174098174
CSGS6,4,60,robust_condition_cqr,40,4,0.26592178770949726,0.21773743016759783,0.07623646031331462,0.2119715045122935,0.3999212650855427,0.40053548156406604,2.343516026838003
CSGS6,4,60,robust_local_cqr,40,4,0.13743016759776538,0.10963687150837989,0.05034626650135258,0.2460325990511584,0.3752597222030061,0.37359207366838265,2.343516026838003
CSGS6,4,60,robust_risk_mondrian,40,4,0.20446927374301682,0.15279329608938552,0.05869005211213714,0.23131831560316968,0.38908179994796405,0.3825871510012988,2.343516026838003
CSGS6,4,60,robust_rolling_cqr,40,4,0.19748603351955307,0.1637592854073301,0.0689423841508914,0.21284184943182766,0.39091733292336556,0.3920847976819357,2.343516026838003
CSGS7,1,15,clean_condition_cqr,40,4,0.4719178082191781,0.44545844720061667,0.15677153419524528,0.3951482711925246,0.6997411669358911,0.643183848386025,4.2977787078011565
CSGS7,1,15,lgbm_condition_cqr,40,4,0.3330985915492958,0.2957191780821918,0.1158176964240146,0.4098598494527703,0.6111496602401378,0.49454244073309184,4.4753951157578395
CSGS7,1,15,oracle_ramp_mondrian,40,4,0.042123287671232856,0.03236542542928808,0.036137979919072624,0.34399501263795684,0.4239229461279175,0.406815477602055,2.724364366683095
CSGS7,1,15,persistence_condition_cqr,40,4,0.8925373134328358,0.8297945205479452,0.26541335787796017,0.3978790012342425,0.963467052558476,1.0172940984079162,4.610824339023496
CSGS7,1,15,robust_condition_cqr,40,4,0.35376712328767124,0.32431265676249277,0.16054187482343843,0.2518684370319126,0.5341709536957626,0.5384493470900829,2.724364366683095
CSGS7,1,15,robust_local_cqr,40,4,0.23450704225352115,0.1883561643835617,0.109524706994068,0.2945177535244771,0.4707478349442128,0.4686164937465142,2.724364366683095
CSGS7,1,15,robust_risk_mondrian,40,4,0.23219178082191783,0.20880281690140845,0.1148705269507333,0.2884774475464327,0.47877350288114917,0.4745190711279799,2.724364366683095
CSGS7,1,15,robust_rolling_cqr,40,4,0.3486301369863014,0.32099170364653684,0.1580212732068778,0.25623032928129086,0.5276313497065352,0.5328766752895497,2.724364366683095
CSGS7,4,60,clean_condition_cqr,40,4,0.27190900098911974,0.22582469368520267,0.08716300378095884,0.3783887134528342,0.5776950794558908,0.5259168756515558,3.323931488612138
CSGS7,4,60,lgbm_condition_cqr,40,4,0.1526229170952479,0.10174429859664433,0.059423295339849705,0.3985107550332804,0.47685776710669103,0.43051662800271645,3.4950364883072202
CSGS7,4,60,oracle_ramp_mondrian,40,4,0.0489161168708766,0.0366092678929514,0.026811416092342645,0.33186827405489655,0.43072049688191016,0.4242272802906574,2.524862430358375
CSGS7,4,60,persistence_condition_cqr,40,4,0.5728334956183058,0.502373887240356,0.18429244229750852,0.5634528960148774,0.9517562798735734,0.9392207619402502,6.6902051691461555
CSGS7,4,60,robust_condition_cqr,40,4,0.20959446092977252,0.16003956478733933,0.0720106771970191,0.28202042092578183,0.4591958278708087,0.4563005401756619,2.524862430358375
CSGS7,4,60,robust_local_cqr,40,4,0.08991097922848668,0.07876763584985806,0.04811727854325496,0.31948788334376343,0.434874086788165,0.431245184605454,2.524862430358375
CSGS7,4,60,robust_risk_mondrian,40,4,0.14222431668237512,0.116815034619189,0.04997228880207018,0.3060245530645818,0.443986751961266,0.4347504604380682,2.524862430358375
CSGS7,4,60,robust_rolling_cqr,40,4,0.17200791295746787,0.15372290292177193,0.07307426509349142,0.2791702236727679,0.45902046371291955,0.454937587796564,2.524862430358375
CSGS8,1,15,clean_condition_cqr,40,4,0.75,0.47616571018651377,0.21412438792187477,0.29055050953596523,0.6721846172722868,0.28323871468931644,4.131148846598731
CSGS8,1,15,lgbm_condition_cqr,40,4,0.7125,0.46969512195121954,0.21397896739928016,0.320235331327383,0.7019991913124561,0.30629699903697305,4.1117934376738186
CSGS8,1,15,oracle_ramp_mondrian,40,4,0.16470588235294115,0.09452717795979156,0.038375218795978244,0.17326393686322034,0.20814940280538355,0.19274855638239685,1.3650226702110535
CSGS8,1,15,persistence_condition_cqr,40,4,0.9,0.9,0.33394420552426823,0.29150089771619003,0.7657786811859321,0.6839031436793516,3.6079113064001183
CSGS8,1,15,robust_condition_cqr,40,4,0.5544117647058824,0.3336082222944428,0.15196558329386764,0.13088595678057247,0.25470576365276465,0.24167167129216233,1.3650226702110535
CSGS8,1,15,robust_local_cqr,40,4,0.44411764705882356,0.2522058823529414,0.10740203078392793,0.1474229122451786,0.22338433807642755,0.20799447507551624,1.3650226702110535
CSGS8,1,15,robust_risk_mondrian,40,4,0.4661764705882353,0.30359928501787464,0.1256790329852384,0.14041919804684572,0.2350399566642257,0.2182475439987691,1.3650226702110535
CSGS8,1,15,robust_rolling_cqr,40,4,0.5617647058823529,0.3363747156321093,0.14642955512482198,0.13286024862297924,0.25149228223407255,0.23852618409098875,1.3650226702110535
CSGS8,4,60,clean_condition_cqr,40,4,0.450561797752809,0.2937728937728939,0.11652465236474603,0.2635962547342985,0.47080312452467793,0.27634433266627273,2.9354191279806434
CSGS8,4,60,lgbm_condition_cqr,40,4,0.3848484848484849,0.2485480811323508,0.11337094419080047,0.3093722919693299,0.5011016843738558,0.31259685107252233,2.984387909632958
CSGS8,4,60,oracle_ramp_mondrian,40,4,0.2333333333333334,0.10649350649350664,0.049528776569106106,0.1943250253260159,0.25241326931993835,0.23154948351460958,1.439204841839937
CSGS8,4,60,persistence_condition_cqr,40,4,0.9,0.9,0.3638770165472756,0.41917761545820065,1.048336645450041,0.9696120901006897,6.024722164927519
CSGS8,4,60,robust_condition_cqr,40,4,0.4064935064935065,0.3129870129870131,0.08471122577747363,0.15667528027654215,0.2829622999478546,0.26042052066099863,1.439204841839937
CSGS8,4,60,robust_local_cqr,40,4,0.3761904761904762,0.2670995670995673,0.06933587724106313,0.1739823562404691,0.2636642325182532,0.24233756807400547,1.439204841839937
CSGS8,4,60,robust_risk_mondrian,40,4,0.3848484848484849,0.28658008658008666,0.06853448448137979,0.1657448290270462,0.27792687198917826,0.25175349862068624,1.439204841839937
CSGS8,4,60,robust_rolling_cqr,40,4,0.40216450216450217,0.2809523809523811,0.08131880967150018,0.15614316093480954,0.28134746625400125,0.25779020479294734,1.439204841839937
