station,fold,horizon_steps,threshold,method,condition,ramp_group,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,clean,non_ramp,5724,5724,5189,3.677669830029406,3.4275758266448975,4.627105571425976,0.8256042581404658,5724,0,1.0,0.906533892382949,0.906533892382949,0.906533892382949,0.0065338923829489914,0.0,0.0065338923829489914,0.0065338923829489914,0.0,0.0065338923829489914,0.12258899433431353,0.15423685238086587,1.275171759597719,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,clean,ramp,36,36,33,9.590449611345926,9.376117706298828,10.10726797580719,2.3219690720240274,36,0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.016666666666666607,0.0,0.016666666666666607,0.016666666666666607,0.0,0.016666666666666607,0.3196816537115309,0.33690893252690635,2.8200582872544446,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,combined_outage,non_ramp,5724,5724,5291,3.6619762804907188,3.5093908309936523,4.450545980679658,0.8361760486737525,5724,0,1.0,0.9243535988819007,0.9243535988819007,0.9243535988819007,0.024353598881900695,0.0,0.024353598881900695,0.024353598881900695,0.0,0.024353598881900695,0.1220658760163573,0.14835153268932194,1.291284563313306,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,combined_outage,ramp,36,36,36,12.071230265001455,12.054898977279663,12.071230265001455,2.5562608771853976,36,0,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,0.4023743421667152,0.4023743421667152,3.072330338492705,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,irradiance_outage,non_ramp,5724,5724,5229,3.0990181358598314,2.8265557289123535,3.965763581427355,0.7176039482966055,5724,0,1.0,0.9135220125786163,0.9135220125786163,0.9135220125786163,0.013522012578616294,0.0,0.013522012578616294,0.013522012578616294,0.0,0.013522012578616294,0.10330060452866105,0.13219211938091183,1.130714450020271,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,irradiance_outage,ramp,36,36,34,9.455735988087124,9.191096901893616,10.085326340463427,2.3526582452985974,36,0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0444444444444444,0.0,0.0444444444444444,0.0444444444444444,0.0,0.0444444444444444,0.31519119960290415,0.3361775446821142,2.8394012965680013,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,recent_power_outage,non_ramp,5724,5724,5238,4.698121931670656,4.634747743606567,5.569061446652427,1.047019095785423,5724,0,1.0,0.9150943396226415,0.9150943396226415,0.9150943396226415,0.015094339622641506,0.0,0.015094339622641506,0.015094339622641506,0.0,0.015094339622641506,0.15660406438902186,0.18563538155508089,1.590345381389384,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,recent_power_outage,ramp,36,36,33,11.63404565387302,10.935492515563965,12.144984086354574,2.8599575890435114,36,0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.016666666666666607,0.0,0.016666666666666607,0.016666666666666607,0.0,0.016666666666666607,0.3878015217957673,0.40483280287848583,3.333968800459884,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,weather_outage,non_ramp,5724,5724,5222,3.755902420022076,3.5207736492156982,4.65278254653281,0.8332197134720473,5724,0,1.0,0.9122990915443746,0.9122990915443746,0.9122990915443746,0.012299091544374585,0.0,0.012299091544374585,0.012299091544374585,0.0,0.012299091544374585,0.1251967473340692,0.15509275155109367,1.2893971630659653,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,oracle_ramp_mondrian,weather_outage,ramp,36,36,36,10.190007170041403,9.907894611358643,10.190007170041403,2.351582659615411,36,0,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,0.33966690566804675,0.33966690566804675,2.8339055553721475,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,clean,non_ramp,5724,5724,5146,6.927295632714407,8.050000190734863,9.240573056616867,1.734224321601807,5724,0,1.0,0.8990216631726066,0.8990216631726066,0.8990216631726066,0.0009783368273934556,0.0009783368273934556,0.0,0.0009783368273934556,0.0009783368273934556,0.0,0.23090985442381357,0.3080191018872289,2.4226057218177206,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,clean,ramp,36,36,0,8.560000015629662,8.559999942779541,85.52111203802957,8.128055493036905,36,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.2853333338543221,2.8507037346009856,8.149019127908778,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,combined_outage,non_ramp,5724,5724,5160,16.263792759676384,15.270000457763672,20.39730074844544,4.784196371176156,5724,0,1.0,0.9014675052410901,0.9014675052410901,0.9014675052410901,0.0014675052410900724,0.0,0.0014675052410900724,0.0014675052410900724,0.0,0.0014675052410900724,0.5421264253225462,0.6799100249481813,6.314932205137589,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,combined_outage,ramp,36,36,9,16.406388852331375,14.440000057220459,81.57305615478091,13.847499956687292,36,0,1.0,0.25,0.25,0.25,0.65,0.65,0.0,0.65,0.65,0.0,0.5468796284110459,2.7191018718260307,14.391099722592488,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,irradiance_outage,non_ramp,5724,5724,5146,6.927295632714407,8.050000190734863,9.240573056616867,1.734224321601807,5724,0,1.0,0.8990216631726066,0.8990216631726066,0.8990216631726066,0.0009783368273934556,0.0009783368273934556,0.0,0.0009783368273934556,0.0009783368273934556,0.0,0.23090985442381357,0.3080191018872289,2.4226057218177206,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,irradiance_outage,ramp,36,36,0,8.560000015629662,8.559999942779541,85.52111203802957,8.128055493036905,36,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.2853333338543221,2.8507037346009856,8.149019127908778,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,recent_power_outage,non_ramp,5724,5724,5160,16.263792759676384,15.270000457763672,20.39730074844544,4.784196371176156,5724,0,1.0,0.9014675052410901,0.9014675052410901,0.9014675052410901,0.0014675052410900724,0.0,0.0014675052410900724,0.0014675052410900724,0.0,0.0014675052410900724,0.5421264253225462,0.6799100249481813,6.314932205137589,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,recent_power_outage,ramp,36,36,9,16.406388852331375,14.440000057220459,81.57305615478091,13.847499956687292,36,0,1.0,0.25,0.25,0.25,0.65,0.65,0.0,0.65,0.65,0.0,0.5468796284110459,2.7191018718260307,14.391099722592488,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,weather_outage,non_ramp,5724,5724,5146,6.927295632714407,8.050000190734863,9.240573056616867,1.734224321601807,5724,0,1.0,0.8990216631726066,0.8990216631726066,0.8990216631726066,0.0009783368273934556,0.0009783368273934556,0.0,0.0009783368273934556,0.0009783368273934556,0.0,0.23090985442381357,0.3080191018872289,2.4226057218177206,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,persistence_condition_cqr,weather_outage,ramp,36,36,0,8.560000015629662,8.559999942779541,85.52111203802957,8.128055493036905,36,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.2853333338543221,2.8507037346009856,8.149019127908778,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,clean,non_ramp,5724,5724,5221,3.676789461495371,3.4860631227493286,4.623836576481998,0.8256042581404658,5724,0,1.0,0.9121243885394829,0.9121243885394829,0.9121243885394829,0.012124388539482833,0.0,0.012124388539482833,0.012124388539482833,0.0,0.012124388539482833,0.12255964871651237,0.15412788588273327,1.275171759597719,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,clean,ramp,36,36,20,6.298102968268925,6.0768890380859375,13.987768921587202,2.3219690720240274,36,0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.34444444444444444,0.34444444444444444,0.0,0.34444444444444444,0.34444444444444444,0.0,0.20993676560896415,0.46625896405290673,2.8200582872544446,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,combined_outage,non_ramp,5724,5724,5331,3.630380916881608,3.626242995262146,4.401152098981503,0.8361760486737525,5724,0,1.0,0.9313417190775681,0.9313417190775681,0.9313417190775681,0.03134171907756811,0.0,0.03134171907756811,0.03134171907756811,0.0,0.03134171907756811,0.12101269722938694,0.1467050699660501,1.291284563313306,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,combined_outage,ramp,36,36,19,6.494679636425442,6.5260796546936035,15.339302672280205,2.5562608771853976,36,0,1.0,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.37222222222222223,0.37222222222222223,0.0,0.37222222222222223,0.37222222222222223,0.0,0.21648932121418138,0.5113100890760068,3.072330338492705,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,irradiance_outage,non_ramp,5724,5724,5275,3.1026147094894925,2.9371695816516876,3.928415401812362,0.7176039482966055,5724,0,1.0,0.9215583508036338,0.9215583508036338,0.9215583508036338,0.021558350803633775,0.0,0.021558350803633775,0.021558350803633775,0.0,0.021558350803633775,0.10342049031631642,0.13094718006041206,1.130714450020271,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,irradiance_outage,ramp,36,36,23,5.7694712148772345,5.504831671714783,14.594154510233137,2.3526582452985974,36,0,1.0,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.2611111111111112,0.2611111111111112,0.0,0.2611111111111112,0.2611111111111112,0.0,0.19231570716257448,0.48647181700777126,2.8394012965680013,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,recent_power_outage,non_ramp,5724,5724,5268,4.7028532036948505,4.714851260185242,5.547354793870154,1.047019095785423,5724,0,1.0,0.9203354297693921,0.9203354297693921,0.9203354297693921,0.020335429769392066,0.0,0.020335429769392066,0.020335429769392066,0.0,0.020335429769392066,0.15676177345649503,0.18491182646233847,1.590345381389384,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,recent_power_outage,ramp,36,36,21,8.008276174465815,7.449184417724609,17.1633946398894,2.8599575890435114,36,0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.31666666666666665,0.31666666666666665,0.0,0.31666666666666665,0.31666666666666665,0.0,0.2669425391488605,0.57211315466298,3.333968800459884,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,weather_outage,non_ramp,5724,5724,5269,3.7940091531451046,3.660576343536377,4.631950154972467,0.8332197134720473,5724,0,1.0,0.9205101327742837,0.9205101327742837,0.9205101327742837,0.020510132774283707,0.0,0.020510132774283707,0.020510132774283707,0.0,0.020510132774283707,0.12646697177150348,0.15439833849908222,1.2893971630659653,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_condition_cqr,weather_outage,ramp,36,36,20,6.389444033304851,6.091495513916016,11.998539394802517,2.351582659615411,36,0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.34444444444444444,0.34444444444444444,0.0,0.34444444444444444,0.34444444444444444,0.0,0.21298146777682836,0.3999513131600839,2.8339055553721475,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_local_cqr,clean,non_ramp,5724,5724,5549,4.542706678391491,4.179021000862122,4.820980470346152,0.8256042581404658,5724,0,1.0,0.9694269741439553,0.9694269741439553,0.9694269741439553,0.06942697414395527,0.0,0.06942697414395527,0.06942697414395527,0.0,0.06942697414395527,0.15142355594638304,0.1606993490115384,1.275171759597719,usable_predictions,attempted_predictions
CSGS8,q2_2020,4,0.25,robust_local_cqr,clean,ramp,36,36,28,8.016498982906342,7.840397834777832,9.79592651128769,2.3219690720240274,36,0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.12222222222222223,0.12222222222222223,0.0,0.12222222222222223,0.12222222222222223,0.0,0.26721663276354474,0.32653088370958966,2.8200582872544446,usable_predictions,attempted_predictions
