station,horizon_steps,horizon_minutes,method,groups,folds,worst_group_undercoverage,q90_group_undercoverage,mean_group_absolute_coverage_error,mean_normalized_width,mean_normalized_interval_score,clean_normalized_interval_score,mean_mae,attempted_predictions,usable_predictions,unavailable_predictions,prediction_availability,minimum_group_availability,mean_group_service_coverage,worst_group_service_undercoverage
CSGS6,1,15,robust_rolling_cqr,40,4,0.4230263157894737,0.35895735508141813,0.18539490472198344,0.20091191826607308,0.4874392080475716,0.4875937491869992,2.753162562806503,117120,117120,0,1.0,1.0,0.7589009598813805,0.4230263157894737
CSGS6,4,60,clean_condition_cqr,40,4,0.34273743016759783,0.22095355761556879,0.07790722006056472,0.3073698256864304,0.47648783034669684,0.4651252556314899,3.1698371828014738,117120,117120,0,1.0,1.0,0.8580230971535704,0.34273743016759783
CSGS6,4,60,lgbm_condition_cqr,40,4,0.18212290502793294,0.13551883989064545,0.0661764894522251,0.3337096876353999,0.4180650632502667,0.3807448655437168,3.559508508727762,117120,117120,0,1.0,1.0,0.8846156610711653,0.18212290502793294
CSGS6,4,60,oracle_ramp_mondrian,40,4,0.06976024748646559,0.058625481247291014,0.033293418122286714,0.2587425728571616,0.3735495843937115,0.36639862934296474,2.349828786026177,117120,117120,0,1.0,1.0,0.8949518545637613,0.06976024748646559
CSGS6,4,60,persistence_condition_cqr,40,4,0.7924581005586593,0.674468085106383,0.24598861725043136,0.515895071076498,0.9085340151840893,0.8717665039047577,7.684628174098174,117120,117120,0,1.0,1.0,0.7330135013973795,0.7924581005586593
CSGS6,4,60,robust_condition_cqr,40,4,0.2589385474860335,0.2185754189944135,0.07817677557319717,0.21104152524242856,0.40610380054591866,0.4072693085006025,2.349828786026177,117120,117120,0,1.0,1.0,0.843922720799225,0.2589385474860335
CSGS6,4,60,robust_local_cqr,40,4,0.1611731843575419,0.12416201117318439,0.05358300232639655,0.24093911703101595,0.37916011472194894,0.38131900629498156,2.349828786026177,117120,117120,0,1.0,1.0,0.8852205889496509,0.1611731843575419
CSGS6,4,60,robust_risk_mondrian,40,4,0.19469273743016757,0.16620111731843581,0.05906304286111359,0.23270656089717995,0.3930413478032834,0.3915687418493121,2.349828786026177,117120,117120,0,1.0,1.0,0.8688666485656867,0.19469273743016757
CSGS6,4,60,robust_rolling_cqr,40,4,0.20865921787709496,0.1805497575050648,0.07166057392417743,0.2129174577550474,0.39621318038391456,0.39918541245217765,2.349828786026177,117120,117120,0,1.0,1.0,0.8532384156495724,0.20865921787709496
CSGS7,1,15,clean_condition_cqr,40,4,0.4758706467661692,0.4371988663202646,0.1638858819959817,0.3925254237479762,0.7050826724736178,0.6514098447513266,4.2960635309409,117120,117120,0,1.0,1.0,0.7929400691410631,0.4758706467661692
CSGS7,1,15,lgbm_condition_cqr,40,4,0.3471830985915493,0.2833638819216671,0.11624383744351116,0.4094281402946648,0.6115078468004022,0.4977699005091988,4.500124720182394,117120,117120,0,1.0,1.0,0.8294211355546214,0.3471830985915493
CSGS7,1,15,oracle_ramp_mondrian,40,4,0.05625000000000002,0.03236542542928808,0.03468969562833237,0.34648799973668964,0.42395242880506057,0.4069546244535136,2.7285797908925447,117120,117120,0,1.0,1.0,0.9191431220993553,0.05625000000000002
