station,fold,horizon_steps,method,condition,ramp_direction,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator,mean_interval_score
CSGS2,q1_2020,1,persistence_condition_cqr,clean,down,96,96,0,19.494064042965572,19.494064331054688,208.4685641179482,19.195757099737722,96,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14995433879204287,1.6036043393688324,19.980617361302915,usable_predictions,attempted_predictions,208.4685641179482
CSGS2,q1_2020,1,persistence_condition_cqr,clean,up,87,87,0,19.36748748812182,19.494064331054688,209.78633094382013,19.267974320499377,87,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14898067298555248,1.6137410072601548,20.325714978849685,usable_predictions,attempted_predictions,209.78633094382013
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,down,96,96,84,96.54424441047013,98.13765716552734,121.45959955640137,31.998068943619728,96,0,1.0,0.875,0.875,0.875,0.025000000000000022,0.025000000000000022,0.0,0.025000000000000022,0.025000000000000022,0.0,0.7426480339266933,0.9343046119723183,37.935762243175354,usable_predictions,attempted_predictions,121.45959955640137
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,up,87,87,73,75.6692426423917,66.69808959960938,102.27608696345625,38.30104666931191,87,0,1.0,0.8390804597701149,0.8390804597701149,0.8390804597701149,0.060919540229885105,0.060919540229885105,0.0,0.060919540229885105,0.060919540229885105,0.0,0.5820710972491668,0.786739130488125,41.848482068488345,usable_predictions,attempted_predictions,102.27608696345625
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,down,96,96,0,19.494064042965572,19.494064331054688,208.4685641179482,19.195757099737722,96,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14995433879204287,1.6036043393688324,19.980617361302915,usable_predictions,attempted_predictions,208.4685641179482
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,up,87,87,0,19.36748748812182,19.494064331054688,209.78633094382013,19.267974320499377,87,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14898067298555248,1.6137410072601548,20.325714978849685,usable_predictions,attempted_predictions,209.78633094382013
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,down,96,96,84,96.54424441047013,98.13765716552734,121.45959955640137,31.998068943619728,96,0,1.0,0.875,0.875,0.875,0.025000000000000022,0.025000000000000022,0.0,0.025000000000000022,0.025000000000000022,0.0,0.7426480339266933,0.9343046119723183,37.935762243175354,usable_predictions,attempted_predictions,121.45959955640137
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,up,87,87,73,75.6692426423917,66.69808959960938,102.27608696345625,38.30104666931191,87,0,1.0,0.8390804597701149,0.8390804597701149,0.8390804597701149,0.060919540229885105,0.060919540229885105,0.0,0.060919540229885105,0.060919540229885105,0.0,0.5820710972491668,0.786739130488125,41.848482068488345,usable_predictions,attempted_predictions,102.27608696345625
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,down,96,96,0,19.494064042965572,19.494064331054688,208.4685641179482,19.195757099737722,96,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14995433879204287,1.6036043393688324,19.980617361302915,usable_predictions,attempted_predictions,208.4685641179482
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,up,87,87,0,19.36748748812182,19.494064331054688,209.78633094382013,19.267974320499377,87,0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.14898067298555248,1.6137410072601548,20.325714978849685,usable_predictions,attempted_predictions,209.78633094382013
CSGS2,q1_2020,1,robust_condition_cqr,clean,down,96,96,43,24.673052991429966,23.55128288269043,111.07987835009892,14.757819542040428,96,0,1.0,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.45208333333333334,0.45208333333333334,0.0,0.45208333333333334,0.45208333333333334,0.0,0.18979271531869205,0.8544606026930687,16.687920864778135,usable_predictions,attempted_predictions,111.07987835009892
CSGS2,q1_2020,1,robust_condition_cqr,clean,up,87,87,32,22.856088028557,22.459476470947266,106.44416640681781,14.310880880246216,87,0,1.0,0.367816091954023,0.367816091954023,0.367816091954023,0.532183908045977,0.532183908045977,0.0,0.532183908045977,0.532183908045977,0.0,0.17581606175813078,0.8188012800524447,16.239110991315165,usable_predictions,attempted_predictions,106.44416640681781
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,down,96,96,66,35.195243886982404,34.53212356567383,103.24959338394304,13.830414065470299,96,0,1.0,0.6875,0.6875,0.6875,0.21250000000000002,0.21250000000000002,0.0,0.21250000000000002,0.21250000000000002,0.0,0.27073264528448004,0.7942276414149464,17.262410460616945,usable_predictions,attempted_predictions,103.24959338394304
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,up,87,87,34,25.311102428655516,25.5291805267334,99.27775706367932,13.53472587980073,87,0,1.0,0.39080459770114945,0.39080459770114945,0.39080459770114945,0.5091954022988505,0.5091954022988505,0.0,0.5091954022988505,0.5091954022988505,0.0,0.19470078791273474,0.7636750543359947,15.187410165432171,usable_predictions,attempted_predictions,99.27775706367932
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,down,96,96,42,26.6509032001098,26.08715057373047,103.18873847524326,14.88650489722689,96,0,1.0,0.4375,0.4375,0.4375,0.4625,0.4625,0.0,0.4625,0.4625,0.0,0.2050069476931523,0.7937595267326404,16.824385688469174,usable_predictions,attempted_predictions,103.18873847524326
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,up,87,87,32,23.69110067548423,24.885108947753906,96.70652766200318,14.198594652373215,87,0,1.0,0.367816091954023,0.367816091954023,0.367816091954023,0.532183908045977,0.532183908045977,0.0,0.532183908045977,0.532183908045977,0.0,0.1822392359652633,0.7438963666307937,15.952865132535216,usable_predictions,attempted_predictions,96.70652766200318
