station,fold,horizon_steps,method,condition,ramp_group,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator,ramp_prevalence,eligible_for_conditional_metrics
CSGS6,q2_2020,4,robust_local_cqr,irradiance_outage,non_ramp,5096,5096,4785,6.605560094400397,5.521127700805664,7.55083892814853,1.3724319653216868,5096,0,1.0,0.9389717425431711,0.9389717425431711,0.9389717425431711,0.03897174254317104,0.0,0.03897174254317104,0.03897174254317104,0.0,0.03897174254317104,0.18873028841143993,0.215738255089958,2.398625508769539,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_local_cqr,irradiance_outage,ramp,728,728,590,10.484631423357424,9.986073970794678,21.806039129721594,3.7178277479546082,728,0,1.0,0.8104395604395604,0.8104395604395604,0.8104395604395604,0.08956043956043958,0.08956043956043958,0.0,0.08956043956043958,0.08956043956043958,0.0,0.2995608978102121,0.623029689420617,5.32031015742401,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_local_cqr,recent_power_outage,non_ramp,5096,5096,4810,7.089838827719233,6.679590106010437,7.947903796388169,1.4514068744267472,5096,0,1.0,0.9438775510204082,0.9438775510204082,0.9438775510204082,0.043877551020408134,0.0,0.043877551020408134,0.043877551020408134,0.0,0.043877551020408134,0.20256682364912093,0.22708296561109054,2.4647531673424776,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_local_cqr,recent_power_outage,ramp,728,728,609,10.743296356125258,11.618419647216797,18.680862688726187,3.659301924099634,728,0,1.0,0.8365384615384616,0.8365384615384616,0.8365384615384616,0.06346153846153846,0.06346153846153846,0.0,0.06346153846153846,0.06346153846153846,0.0,0.30695132446072165,0.5337389339636053,5.26888863020433,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_local_cqr,weather_outage,non_ramp,5096,5096,4733,6.298374206884189,5.027523517608643,7.3324558869634595,1.34232700391905,5096,0,1.0,0.9287676609105181,0.9287676609105181,0.9287676609105181,0.028767660910518078,0.0,0.028767660910518078,0.028767660910518078,0.0,0.028767660910518078,0.17995354876811967,0.2094987396275274,2.3476170406931405,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_local_cqr,weather_outage,ramp,728,728,579,10.28152536626414,9.954984545707703,21.662024937334706,3.6769191680864974,728,0,1.0,0.7953296703296703,0.7953296703296703,0.7953296703296703,0.10467032967032974,0.10467032967032974,0.0,0.10467032967032974,0.10467032967032974,0.0,0.29375786760754685,0.6189149982095631,5.269034931403541,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_risk_mondrian,clean,non_ramp,5096,5096,4667,5.799853186025071,4.730792999267578,7.03695647396116,1.2942888603793221,5096,0,1.0,0.9158163265306123,0.9158163265306123,0.9158163265306123,0.015816326530612268,0.0,0.015816326530612268,0.015816326530612268,0.0,0.015816326530612268,0.16571009102928774,0.20105589925603315,2.2985125341571044,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_risk_mondrian,clean,ramp,728,728,565,9.91787777765869,9.07875680923462,23.70117474656941,3.748863496541322,728,0,1.0,0.7760989010989011,0.7760989010989011,0.7760989010989011,0.1239010989010989,0.1239010989010989,0.0,0.1239010989010989,0.1239010989010989,0.0,0.283367936504534,0.6771764213305546,5.374456572539523,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_risk_mondrian,combined_outage,non_ramp,5096,5096,4530,6.149668064180828,6.359042167663574,8.601760454526366,1.505894268514848,5096,0,1.0,0.8889324960753532,0.8889324960753532,0.8889324960753532,0.011067503924646838,0.011067503924646838,0.0,0.011067503924646838,0.011067503924646838,0.0,0.17570480183373793,0.245764584415039,2.5493281172192335,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_risk_mondrian,combined_outage,ramp,728,728,566,9.201230896421922,8.855825424194336,22.72981043459827,3.690343395878489,728,0,1.0,0.7774725274725275,0.7774725274725275,0.7774725274725275,0.12252747252747254,0.12252747252747254,0.0,0.12252747252747254,0.12252747252747254,0.0,0.2628923113263406,0.6494231552742363,5.3298366711755625,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_risk_mondrian,irradiance_outage,non_ramp,5096,5096,4609,5.789171774973854,5.225003719329834,7.44561033619019,1.3724319653216868,5096,0,1.0,0.9044348508634223,0.9044348508634223,0.9044348508634223,0.004434850863422324,0.0,0.004434850863422324,0.004434850863422324,0.0,0.004434850863422324,0.1654049078563958,0.21273172389114828,2.398625508769539,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_risk_mondrian,irradiance_outage,ramp,728,728,557,9.617332499968093,8.806427955627441,23.932345760763614,3.7178277479546082,728,0,1.0,0.7651098901098901,0.7651098901098901,0.7651098901098901,0.13489010989010997,0.13489010989010997,0.0,0.13489010989010997,0.13489010989010997,0.0,0.27478092857051695,0.683781307450389,5.32031015742401,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_risk_mondrian,recent_power_outage,non_ramp,5096,5096,4590,6.174585200122152,5.933788537979126,7.793956669057378,1.4514068744267472,5096,0,1.0,0.9007064364207221,0.9007064364207221,0.9007064364207221,0.0007064364207221008,0.0,0.0007064364207221008,0.0007064364207221008,0.0,0.0007064364207221008,0.17641672000349007,0.22268447625878224,2.4647531673424776,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_risk_mondrian,recent_power_outage,ramp,728,728,575,9.864716330325042,9.536689758300781,20.553044686039556,3.659301924099634,728,0,1.0,0.7898351648351648,0.7898351648351648,0.7898351648351648,0.11016483516483522,0.11016483516483522,0.0,0.11016483516483522,0.11016483516483522,0.0,0.2818490380092869,0.5872298481725587,5.26888863020433,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_risk_mondrian,weather_outage,non_ramp,5096,5096,4639,5.937788552036497,4.910478830337524,7.2955931562975715,1.34232700391905,5096,0,1.0,0.9103218210361067,0.9103218210361067,0.9103218210361067,0.010321821036106682,0.0,0.010321821036106682,0.010321821036106682,0.0,0.010321821036106682,0.16965110148675705,0.2084455187513592,2.3476170406931405,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_risk_mondrian,weather_outage,ramp,728,728,575,10.36611906194306,9.61081576347351,22.666541619542002,3.6769191680864974,728,0,1.0,0.7898351648351648,0.7898351648351648,0.7898351648351648,0.11016483516483522,0.11016483516483522,0.0,0.11016483516483522,0.11016483516483522,0.0,0.29617483034123027,0.6476154748440572,5.269034931403541,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_rolling_cqr,clean,non_ramp,5096,5096,4695,5.596959281263699,4.716723561286926,7.085236308221325,1.2942888603793221,5096,0,1.0,0.9213108320251178,0.9213108320251178,0.9213108320251178,0.021310832025117743,0.0,0.021310832025117743,0.021310832025117743,0.0,0.021310832025117743,0.15991312232181995,0.20243532309203785,2.2985125341571044,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_rolling_cqr,clean,ramp,728,728,510,8.64236943124906,8.228417873382568,24.79988435332428,3.748863496541322,728,0,1.0,0.7005494505494505,0.7005494505494505,0.7005494505494505,0.19945054945054952,0.19945054945054952,0.0,0.19945054945054952,0.19945054945054952,0.0,0.2469248408928303,0.7085681243806937,5.374456572539523,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_rolling_cqr,combined_outage,non_ramp,5096,5096,4639,6.1281803497217,5.880943298339844,8.409364244919878,1.505894268514848,5096,0,1.0,0.9103218210361067,0.9103218210361067,0.9103218210361067,0.010321821036106682,0.0,0.010321821036106682,0.010321821036106682,0.0,0.010321821036106682,0.1750908671349057,0.24026754985485366,2.5493281172192335,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_rolling_cqr,combined_outage,ramp,728,728,547,8.831669489620253,8.430463552474976,23.744004295445507,3.690343395878489,728,0,1.0,0.7513736263736264,0.7513736263736264,0.7513736263736264,0.14862637362637365,0.14862637362637365,0.0,0.14862637362637365,0.14862637362637365,0.0,0.2523334139891501,0.6784001227270144,5.3298366711755625,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_rolling_cqr,irradiance_outage,non_ramp,5096,5096,4696,5.833620345197524,5.240126132965088,7.480661233813722,1.3724319653216868,5096,0,1.0,0.9215070643642073,0.9215070643642073,0.9215070643642073,0.02150706436420724,0.0,0.02150706436420724,0.02150706436420724,0.0,0.02150706436420724,0.16667486700564355,0.21373317810896347,2.398625508769539,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_rolling_cqr,irradiance_outage,ramp,728,728,539,8.881233412475622,8.364948272705078,24.096288934994774,3.7178277479546082,728,0,1.0,0.7403846153846154,0.7403846153846154,0.7403846153846154,0.1596153846153846,0.1596153846153846,0.0,0.1596153846153846,0.1596153846153846,0.0,0.25374952607073203,0.6884653981427078,5.32031015742401,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_rolling_cqr,recent_power_outage,non_ramp,5096,5096,4667,6.21974292313825,5.916261196136475,7.833595812250269,1.4514068744267472,5096,0,1.0,0.9158163265306123,0.9158163265306123,0.9158163265306123,0.015816326530612268,0.0,0.015816326530612268,0.015816326530612268,0.0,0.015816326530612268,0.17770694066109285,0.22381702320715052,2.4647531673424776,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_rolling_cqr,recent_power_outage,ramp,728,728,552,9.196577660734304,9.063332200050354,20.869131291218633,3.659301924099634,728,0,1.0,0.7582417582417582,0.7582417582417582,0.7582417582417582,0.1417582417582418,0.1417582417582418,0.0,0.1417582417582418,0.1417582417582418,0.0,0.2627593617352658,0.5962608940348181,5.26888863020433,usable_predictions,attempted_predictions,0.125,True
CSGS6,q2_2020,4,robust_rolling_cqr,weather_outage,non_ramp,5096,5096,4683,5.658533355978614,4.853141605854034,7.227125822955379,1.34232700391905,5096,0,1.0,0.9189560439560439,0.9189560439560439,0.9189560439560439,0.01895604395604389,0.0,0.01895604395604389,0.01895604395604389,0.0,0.01895604395604389,0.16167238159938896,0.20648930922729655,2.3476170406931405,usable_predictions,attempted_predictions,0.875,True
CSGS6,q2_2020,4,robust_rolling_cqr,weather_outage,ramp,728,728,524,8.78389641439931,8.401845455169678,23.86649238254752,3.6769191680864974,728,0,1.0,0.7197802197802198,0.7197802197802198,0.7197802197802198,0.18021978021978025,0.18021978021978025,0.0,0.18021978021978025,0.18021978021978025,0.0,0.2509684689828374,0.6818997823585006,5.269034931403541,usable_predictions,attempted_predictions,0.125,True
CSGS6,q3_2020,1,clean_condition_cqr,clean,non_ramp,5291,5291,4936,3.48795336926702,2.9026403427124023,4.216873206398702,0.7310517566821423,5291,0,1.0,0.9329049329049329,0.9329049329049329,0.9329049329049329,0.032904932904932904,0.0,0.032904932904932904,0.032904932904932904,0.0,0.032904932904932904,0.09965581055048629,0.12048209161139149,1.2111191607509408,usable_predictions,attempted_predictions,0.8986073369565217,True
CSGS6,q3_2020,1,clean_condition_cqr,clean,ramp,597,597,213,7.8609767778834305,8.06855583190918,37.17751366089736,5.101699425047966,597,0,1.0,0.35678391959798994,0.35678391959798994,0.35678391959798994,0.5432160804020101,0.5432160804020101,0.0,0.5432160804020101,0.5432160804020101,0.0,0.22459933651095515,1.0622146760256388,5.655598153146895,usable_predictions,attempted_predictions,0.10139266304347826,True
CSGS6,q3_2020,1,clean_condition_cqr,combined_outage,non_ramp,5291,5291,5052,22.414788378995073,22.262100219726562,23.904717847859786,5.848361895964704,5291,0,1.0,0.9548289548289548,0.9548289548289548,0.9548289548289548,0.05482895482895478,0.0,0.05482895482895478,0.05482895482895478,0.0,0.05482895482895478,0.640422525114145,0.6829919385102796,7.167447986114937,usable_predictions,attempted_predictions,0.8986073369565217,True
CSGS6,q3_2020,1,clean_condition_cqr,combined_outage,ramp,597,597,546,23.742403036785287,24.112667083740234,27.390971194958965,8.279230147051052,597,0,1.0,0.914572864321608,0.914572864321608,0.914572864321608,0.014572864321607981,0.0,0.014572864321607981,0.014572864321607981,0.0,0.014572864321607981,0.6783543724795796,0.7825991769988275,9.918899927117467,usable_predictions,attempted_predictions,0.10139266304347826,True
CSGS6,q3_2020,1,clean_condition_cqr,irradiance_outage,non_ramp,5291,5291,4833,6.952283038488167,5.682485580444336,7.727640678273805,1.7527417799010288,5291,0,1.0,0.9134379134379135,0.9134379134379135,0.9134379134379135,0.013437913437913451,0.0,0.013437913437913451,0.013437913437913451,0.0,0.013437913437913451,0.19863665824251905,0.22078973366496588,2.0910336724220233,usable_predictions,attempted_predictions,0.8986073369565217,True
CSGS6,q3_2020,1,clean_condition_cqr,irradiance_outage,ramp,597,597,344,10.540642994133073,11.14969253540039,30.09438728187951,4.708141400885942,597,0,1.0,0.576214405360134,0.576214405360134,0.576214405360134,0.323785594639866,0.323785594639866,0.0,0.323785594639866,0.323785594639866,0.0,0.3011612284038021,0.8598396366251289,5.397318426118633,usable_predictions,attempted_predictions,0.10139266304347826,True
CSGS6,q3_2020,1,clean_condition_cqr,recent_power_outage,non_ramp,5291,5291,5090,20.82968550065451,19.841482162475586,21.90470788213441,4.767401328197981,5291,0,1.0,0.962010962010962,0.962010962010962,0.962010962010962,0.06201096201096201,0.0,0.06201096201096201,0.06201096201096201,0.0,0.06201096201096201,0.5951338714472717,0.6258487966324117,6.495367463027626,usable_predictions,attempted_predictions,0.8986073369565217,True
CSGS6,q3_2020,1,clean_condition_cqr,recent_power_outage,ramp,597,597,547,23.486538454116488,23.419418334960938,26.88422017121435,8.174211291711734,597,0,1.0,0.916247906197655,0.916247906197655,0.916247906197655,0.016247906197654927,0.0,0.016247906197654927,0.016247906197654927,0.0,0.016247906197654927,0.6710439558318997,0.76812057632041,9.834230850499393,usable_predictions,attempted_predictions,0.10139266304347826,True
CSGS6,q3_2020,1,clean_condition_cqr,weather_outage,non_ramp,5291,5291,4956,3.559695029499407,3.0341062545776367,4.2902792388192275,0.7392346357869278,5291,0,1.0,0.9366849366849367,0.9366849366849367,0.9366849366849367,0.036684936684936664,0.0,0.036684936684936664,0.036684936684936664,0.0,0.036684936684936664,0.10170557227141162,0.1225794068234065,1.2205514763794494,usable_predictions,attempted_predictions,0.8986073369565217,True
CSGS6,q3_2020,1,clean_condition_cqr,weather_outage,ramp,597,597,215,7.901081395508656,7.920521259307861,36.89182399465411,5.0965532063439465,597,0,1.0,0.3601340033500838,0.3601340033500838,0.3601340033500838,0.5398659966499162,0.5398659966499162,0.0,0.5398659966499162,0.5398659966499162,0.0,0.22574518272881874,1.0540521141329746,5.655962317306933,usable_predictions,attempted_predictions,0.10139266304347826,True
