station,fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score,attempted_predictions,usable_predictions,unavailable_predictions,minimum_group_availability,mean_group_service_coverage
CSGS6,q1_2020,1,robust_risk_mondrian,0.3453551912568307,0.18171951934994907,0.20126161642993062,0.49965634572559015,29120,29120,0,1.0,0.7707905576013152
CSGS6,q1_2020,1,robust_rolling_cqr,0.40819672131147544,0.197501937297635,0.18917002403006675,0.5305368260929786,29120,29120,0,1.0,0.7516002979533727
CSGS6,q1_2020,4,clean_condition_cqr,0.12148760330578512,0.057592988640393784,0.2732535004522647,0.41870827646655534,29120,29120,0,1.0,0.869226500732589
CSGS6,q1_2020,4,lgbm_condition_cqr,0.10524490680537502,0.05648335823060968,0.3245787839710158,0.4016248293397967,29120,29120,0,1.0,0.8920657574682874
CSGS6,q1_2020,4,oracle_ramp_mondrian,0.026354573038578244,0.006073609961776416,0.20246311286399116,0.3251537468238833,29120,29120,0,1.0,0.8996115666655919
CSGS6,q1_2020,4,persistence_condition_cqr,0.4090909090909091,0.18333121975160044,0.531714698654683,0.8252953463038292,29120,29120,0,1.0,0.7770502280160632
CSGS6,q1_2020,4,robust_condition_cqr,0.0694214876033058,0.040936854058972516,0.1675342437542591,0.3358649012243881,29120,29120,0,1.0,0.8806062755465758
CSGS6,q1_2020,4,robust_local_cqr,0.03223140495867771,0.03348038846915783,0.20081440459722605,0.3200743294137728,29120,29120,0,1.0,0.9126539421881661
CSGS6,q1_2020,4,robust_risk_mondrian,0.044628099173553704,0.028172683209921657,0.18910390729066123,0.33195438257903614,29120,29120,0,1.0,0.8965607368160862
CSGS6,q1_2020,4,robust_rolling_cqr,0.06776859504132238,0.03903172880238727,0.17328018026792422,0.3335755431010753,29120,29120,0,1.0,0.8849821420255278
CSGS6,q2_2020,1,clean_condition_cqr,0.5960985626283368,0.17717975206214104,0.39312088336341516,0.634572898198274,29120,29120,0,1.0,0.7893358095570076
CSGS6,q2_2020,1,lgbm_condition_cqr,0.42156057494866533,0.12925209657580125,0.3692572906246792,0.5407861341570795,29120,29120,0,1.0,0.8043214643115609
CSGS6,q2_2020,1,oracle_ramp_mondrian,0.0053026044594342014,0.03955779631482821,0.3124270577016421,0.3541226069008858,29120,29120,0,1.0,0.9384972754229415
CSGS6,q2_2020,1,persistence_condition_cqr,0.9,0.304437680614085,0.3660328519553423,0.9261632439736985,29120,29120,0,1.0,0.664437680614085
CSGS6,q2_2020,1,robust_condition_cqr,0.3455852156057495,0.1635367984305451,0.194652450416082,0.44622921022051376,29120,29120,0,1.0,0.7631261208124753
CSGS6,q2_2020,1,robust_local_cqr,0.22032854209445585,0.11772773774498205,0.23303077063135902,0.40110530455283255,29120,29120,0,1.0,0.829021372241902
CSGS6,q2_2020,1,robust_risk_mondrian,0.29425051334702257,0.13547929125215122,0.21546915522861582,0.4136089608928243,29120,29120,0,1.0,0.8007770325252519
CSGS6,q2_2020,1,robust_rolling_cqr,0.3414784394250514,0.16684145666281539,0.1973124623685319,0.44370642975407737,29120,29120,0,1.0,0.770126877607374
CSGS6,q2_2020,4,clean_condition_cqr,0.2708791208791209,0.07900706436420722,0.3024555200583269,0.47978804457408797,29120,29120,0,1.0,0.8513147566718995
CSGS6,q2_2020,4,lgbm_condition_cqr,0.17884615384615388,0.07506671899529042,0.32838027700021544,0.4188015454508519,29120,29120,0,1.0,0.8900117739403454
CSGS6,q2_2020,4,oracle_ramp_mondrian,0.06758241758241756,0.037578492935635824,0.24060193997362395,0.40649995457254295,29120,29120,0,1.0,0.8624215070643642
CSGS6,q2_2020,4,persistence_condition_cqr,0.38489010989010997,0.17298665620094192,0.5693468801004551,0.810723436413013,29120,29120,0,1.0,0.8420525902668758
CSGS6,q2_2020,4,robust_condition_cqr,0.21181318681318684,0.08914442700156985,0.20362874920067897,0.4502030075586589,29120,29120,0,1.0,0.8124803767660911
CSGS6,q2_2020,4,robust_local_cqr,0.11428571428571432,0.06387362637362638,0.24034897233294256,0.41344856450287315,29120,29120,0,1.0,0.8685439560439561
CSGS6,q2_2020,4,robust_risk_mondrian,0.13489010989010997,0.0643995290423862,0.22519526669615772,0.43359084096441575,29120,29120,0,1.0,0.8418563579277866
CSGS6,q2_2020,4,robust_rolling_cqr,0.19945054945054952,0.09175824175824177,0.21077937903936667,0.4440336705134037,29120,29120,0,1.0,0.8258241758241759
CSGS6,q3_2020,1,clean_condition_cqr,0.5432160804020101,0.1637556142078755,0.37364585135808887,0.6299518147345434,29440,29440,0,1.0,0.7823820798695171
CSGS6,q3_2020,1,lgbm_condition_cqr,0.3355108877721943,0.11183783213933966,0.37366558785074283,0.5384004173558686,29440,29440,0,1.0,0.8292917684877483
CSGS6,q3_2020,1,oracle_ramp_mondrian,0.05290115290115294,0.012811173615193716,0.2937832167274979,0.36602590118346007,29440,29440,0,1.0,0.8930905393216951
CSGS6,q3_2020,1,persistence_condition_cqr,0.9,0.31504922710952865,0.3413408723957391,0.8753227251257851,29440,29440,0,1.0,0.6473775353172339
CSGS6,q3_2020,1,robust_condition_cqr,0.37906197654941376,0.16865123829947953,0.21096168332944903,0.4784799268511167,29440,29440,0,1.0,0.7327209030726618
