horizon_steps,method,stratum,stations,eligible_groups,eligible_prediction_rows,attempted_prediction_rows,unavailable_prediction_rows,mean_station_prediction_availability,worst_station_prediction_availability,mean_station_service_coverage,mean_station_coverage,mean_station_worst_undercoverage,worst_station_worst_undercoverage,mean_normalized_width,mean_normalized_interval_score,coverage_change_vs_baseline,worst_undercoverage_improvement_vs_baseline,normalized_width_change_vs_baseline,normalized_interval_score_change_vs_baseline,aggregation_unit,within_station_group_weighting,minimum_group_n,nominal_ramp_threshold
4,clean_condition_cqr,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9173284667540669,0.9173284667540669,0.09890455704134316,0.1762483387127397,0.3035496988176281,0.3834139727424016,-0.0007424486363516447,-0.038089917747159266,0.10572332443399235,0.12833451948743785,station,equal eligible fold-condition-ramp groups,80,0.2
4,clean_condition_cqr,ramp,5,100,68590,68590,0,1.0,1.0,0.7589227623582315,0.7589227623582315,0.3329103707429984,0.3943820224719101,0.3665733753979531,0.732094842138214,-0.0016269256312542169,-0.06409959997655346,0.0807369445381404,0.12823013046343534,station,equal eligible fold-condition-ramp groups,80,0.2
4,lgbm_condition_cqr,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9089385130971973,0.9089385130971973,0.1026518072070802,0.16743468422135366,0.3165237278300491,0.3854003764428112,-0.009132402293221209,-0.04183716791289631,0.11869735344641336,0.1303209231878475,station,equal eligible fold-condition-ramp groups,80,0.2
4,lgbm_condition_cqr,ramp,5,100,68590,68590,0,1.0,1.0,0.8033046352883983,0.8033046352883983,0.2908235924186029,0.41515151515151516,0.3972627229278844,0.6131306862490511,0.042754947298912604,-0.022012821652157954,0.1114262920680717,0.009265974574272473,station,equal eligible fold-condition-ramp groups,80,0.2
4,oracle_ramp_mondrian,non_ramp,5,100,476180,476180,0,1.0,1.0,0.8964707417064213,0.8964707417064213,0.09082020253257332,0.2532458563535912,0.18697090536223557,0.25610789876104323,-0.021600173683997248,-0.030005563238389432,-0.010855469021400194,0.0010284455060795006,station,equal eligible fold-condition-ramp groups,80,0.2
4,oracle_ramp_mondrian,ramp,5,100,68590,68590,0,1.0,1.0,0.8952330664612518,0.8952330664612518,0.09405323896092188,0.2246753246753247,0.39569103003468864,0.5291286249517213,0.13468337847176604,0.17475753180552306,0.10985459917487594,-0.07473608672305732,station,equal eligible fold-condition-ramp groups,80,0.2
4,persistence_condition_cqr,non_ramp,5,100,471170,476180,5010,0.9850078551657067,0.925039275828533,0.9458663809366247,0.9597237086839392,0.0322319450581162,0.057395101575849705,0.4652636452423362,0.5155122240980671,0.041652793293520674,0.028582694236067692,0.26743727085870045,0.26043277084310335,station,equal eligible fold-condition-ramp groups,80,0.2
4,persistence_condition_cqr,ramp,5,100,67762,68590,828,0.9850203527815469,0.925101763907734,0.4025453927820898,0.41275700099918416,0.813058319235393,0.9,0.5277462296451398,1.4592479915769538,-0.3477926869903016,-0.544247548468948,0.24190979878532715,0.8553832799021752,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_condition_cqr,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9180709153904185,0.9180709153904185,0.06081463929418389,0.2252762430939227,0.19782637438363576,0.25507945325496373,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_condition_cqr,ramp,5,100,68590,68590,0,1.0,1.0,0.7605496879894857,0.7605496879894857,0.26881077076644494,0.41515151515151516,0.2858364308598127,0.6038647116747786,0.0,0.0,0.0,0.0,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_local_cqr,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9353003196361284,0.9353003196361284,0.042912843505455586,0.17520718232044197,0.21321013089981605,0.2511508966582049,0.017229404245709845,0.017901795788728303,0.015383756516180291,-0.0039285565967588365,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_local_cqr,ramp,5,100,68590,68590,0,1.0,1.0,0.8252670598066094,0.8252670598066094,0.18885169954560527,0.3632034632034632,0.32619078624068215,0.5533300876628215,0.06471737181712367,0.07995907122083967,0.040354355380869456,-0.050534624011957074,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_risk_mondrian,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9200728929146422,0.9200728929146422,0.05935680780834975,0.2149171270718232,0.20392130985843138,0.2520729682325241,0.002001977524223708,0.0014578314858341365,0.006094935474795615,-0.003006485022439609,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_risk_mondrian,ramp,5,100,68590,68590,0,1.0,1.0,0.8043015900106649,0.8043015900106649,0.22232342795434556,0.3502164502164502,0.31441648015640994,0.579105129811614,0.04375190202117918,0.046487342812099375,0.028580049296597243,-0.024759581863164626,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_rolling_cqr,non_ramp,5,100,476180,476180,0,1.0,1.0,0.9203089589848631,0.9203089589848631,0.0072790055248618925,0.03639502762430946,0.2002942910545816,0.24984609452227238,0.002238043594444572,0.053535633769321994,0.002467916670945841,-0.0052333587326913455,station,equal eligible fold-condition-ramp groups,80,0.2
4,robust_rolling_cqr,ramp,5,100,68590,68590,0,1.0,1.0,0.7634170506217665,0.7634170506217665,0.25160793810312965,0.42380952380952386,0.28825013052350335,0.5982585577023318,0.002867362632280712,0.017202832663315293,0.0024136996636906494,-0.005606153972446792,station,equal eligible fold-condition-ramp groups,80,0.2
