station,horizon_steps,threshold,candidate_method,candidate_eligible_groups,candidate_worst_undercoverage,baseline_eligible_groups,baseline_worst_undercoverage,test_n,ramp_n,ramp_prevalence,station_improvement,absolute_gate_delta,required_minimum_coverage,candidate_absolute_gate_passed,candidate_stations,candidate_stations_passing_absolute_gate,expected_stations,candidate_station_set_complete,candidate_missing_stations,candidate_all_stations_absolute_gate_passed,is_nominal_threshold,minimum_group_n,aggregation_unit
CSGS2,4,0.15,robust_rolling_cqr,40,0.15182186234817818,40,0.1761133603238867,23424,4470,0.19082991803278687,0.02429149797570851,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS5,4,0.15,robust_rolling_cqr,40,0.1133182844243793,40,0.24586466165413534,15578,4321,0.2773783540891,0.13254637722975604,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS6,4,0.15,robust_rolling_cqr,40,0.131814548361311,40,0.1709832134292566,23424,6079,0.25952015027322406,0.039168665067945585,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS7,4,0.15,robust_rolling_cqr,40,0.11204188481675392,40,0.14280104712041886,23424,6624,0.2827868852459016,0.030759162303664933,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS8,4,0.15,robust_rolling_cqr,40,0.30000000000000004,40,0.30188679245283023,23104,2773,0.12002250692520776,0.0018867924528301883,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS2,4,0.2,robust_local_cqr,40,0.16211849192100536,40,0.2826638477801269,23424,2249,0.09601263661202186,0.12054535585912152,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS5,4,0.2,robust_local_cqr,40,0.17520718232044197,40,0.2252762430939227,15578,2211,0.14193092823212222,0.05006906077348072,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS6,4,0.2,robust_local_cqr,40,0.1611731843575419,40,0.2589385474860335,23424,3594,0.15343237704918034,0.0977653631284916,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS7,4,0.2,robust_local_cqr,40,0.10672601384767555,40,0.18684470820969334,23424,4554,0.19441598360655737,0.0801186943620178,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS8,4,0.2,robust_local_cqr,40,0.3632034632034632,40,0.41515151515151516,23104,1110,0.048043628808864265,0.051948051948051965,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS2,4,0.2,robust_risk_mondrian,40,0.23572710951526032,40,0.2826638477801269,23424,2249,0.09601263661202186,0.04693673826486655,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS5,4,0.2,robust_risk_mondrian,40,0.2149171270718232,40,0.2252762430939227,15578,2211,0.14193092823212222,0.01035911602209949,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS6,4,0.2,robust_risk_mondrian,40,0.19469273743016757,40,0.2589385474860335,23424,3594,0.15343237704918034,0.06424581005586594,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS7,4,0.2,robust_risk_mondrian,40,0.17101879327398617,40,0.18684470820969334,23424,4554,0.19441598360655737,0.015825914935707175,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS8,4,0.2,robust_risk_mondrian,40,0.3502164502164502,40,0.41515151515151516,23104,1110,0.048043628808864265,0.06493506493506496,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS2,4,0.2,robust_rolling_cqr,40,0.24829443447037702,40,0.2826638477801269,23424,2249,0.09601263661202186,0.03436941330974985,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS5,4,0.2,robust_rolling_cqr,40,0.21120331950207472,40,0.2252762430939227,15578,2211,0.14193092823212222,0.014072923591847974,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS6,4,0.2,robust_rolling_cqr,40,0.20865921787709496,40,0.2589385474860335,23424,3594,0.15343237704918034,0.05027932960893855,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS7,4,0.2,robust_rolling_cqr,40,0.16607319485657768,40,0.18684470820969334,23424,4554,0.19441598360655737,0.020771513353115667,0.1,0.8,False,5,0,5,True,,False,True,80,station
CSGS8,4,0.2,robust_rolling_cqr,40,0.42380952380952386,40,0.41515151515151516,23104,1110,0.048043628808864265,-0.008658008658008698,0.1,0.8,False,5,0,5,True,,False,True,80,station
