station,fold,horizon_steps,condition,n,ramp_n,ramp_prevalence,roc_auc,average_precision,brier,top_decile_ramp_recall
CSGS5,q4_2020,4,combined_outage,3393,482,0.14205717653993516,0.5681646808286211,0.16589834394406663,0.1445033648382775,0.12655601659751037
CSGS5,q4_2020,4,irradiance_outage,3393,482,0.14205717653993516,0.7977566848311811,0.40262783742684904,0.1387654666311591,0.3132780082987552
CSGS5,q4_2020,4,recent_power_outage,3393,482,0.14205717653993516,0.7029182482813081,0.330490469665905,0.14565326991069558,0.24896265560165975
CSGS5,q4_2020,4,weather_outage,3393,482,0.14205717653993516,0.8546848340320233,0.5141499711338372,0.12413349623595987,0.34439834024896265
CSGS6,q1_2020,1,clean,5824,366,0.06284340659340659,0.9187991958462737,0.4166605099414635,0.063250368627201,0.644808743169399
CSGS6,q1_2020,1,combined_outage,5824,366,0.06284340659340659,0.7991680633231011,0.24010864748732447,0.09804997494182892,0.4562841530054645
CSGS6,q1_2020,1,irradiance_outage,5824,366,0.06284340659340659,0.8861544792123459,0.343992904747666,0.09243551060877461,0.5983606557377049
CSGS6,q1_2020,1,recent_power_outage,5824,366,0.06284340659340659,0.8767085263122063,0.3203142063367056,0.06711619646258302,0.546448087431694
CSGS6,q1_2020,1,weather_outage,5824,366,0.06284340659340659,0.9129279825873486,0.3998445811536331,0.0704761097935894,0.6174863387978142
CSGS6,q1_2020,4,clean,5824,1210,0.20776098901098902,0.95262997632072,0.8489945678637608,0.08763788847159643,0.4446280991735537
CSGS6,q1_2020,4,combined_outage,5824,1210,0.20776098901098902,0.7287617276918612,0.473205905551376,0.2105175319471651,0.33636363636363636
CSGS6,q1_2020,4,irradiance_outage,5824,1210,0.20776098901098902,0.9158792679126052,0.7552073005562794,0.14546160003915012,0.40165289256198344
CSGS6,q1_2020,4,recent_power_outage,5824,1210,0.20776098901098902,0.8886523946164566,0.6933706440631889,0.14691799337426445,0.3669421487603306
CSGS6,q1_2020,4,weather_outage,5824,1210,0.20776098901098902,0.945204139754323,0.8293528884384039,0.08874738754789603,0.43636363636363634
CSGS6,q2_2020,1,clean,5824,487,0.08361950549450549,0.8679612207059392,0.3103116489682712,0.09851883202232975,0.4086242299794661
CSGS6,q2_2020,1,combined_outage,5824,487,0.08361950549450549,0.7505668266824258,0.17658219428411406,0.09781961769833805,0.2299794661190965
CSGS6,q2_2020,1,irradiance_outage,5824,487,0.08361950549450549,0.8406259967319696,0.2994786620221569,0.10463707671582761,0.3839835728952772
CSGS6,q2_2020,1,recent_power_outage,5824,487,0.08361950549450549,0.8237150742232273,0.25800423723176136,0.0755059390942695,0.351129363449692
CSGS6,q2_2020,1,weather_outage,5824,487,0.08361950549450549,0.8713163960557404,0.3237027093543196,0.1032412578836095,0.41683778234086244
CSGS6,q2_2020,4,clean,5824,728,0.125,0.8595909094829817,0.4770307174448065,0.10660666659360005,0.3914835164835165
CSGS6,q2_2020,4,combined_outage,5824,728,0.125,0.6460522527903807,0.21224140598680757,0.1566154207319098,0.15384615384615385
CSGS6,q2_2020,4,irradiance_outage,5824,728,0.125,0.8138272637880174,0.3704176613711489,0.12121448083952494,0.31043956043956045
CSGS6,q2_2020,4,recent_power_outage,5824,728,0.125,0.8244577733883072,0.3865014934989298,0.11790046301205989,0.32005494505494503
CSGS6,q2_2020,4,weather_outage,5824,728,0.125,0.8649929593561855,0.4833088432877491,0.11003732965253833,0.4065934065934066
CSGS6,q3_2020,1,clean,5888,597,0.10139266304347826,0.8727075812502948,0.37519890951159274,0.11041431605507664,0.39028475711892796
CSGS6,q3_2020,1,combined_outage,5888,597,0.10139266304347826,0.8135047758163335,0.30489820215186614,0.11241844138831938,0.34505862646566166
CSGS6,q3_2020,1,irradiance_outage,5888,597,0.10139266304347826,0.8625280057440861,0.3346568141829033,0.11155455966799549,0.37185929648241206
CSGS6,q3_2020,1,recent_power_outage,5888,597,0.10139266304347826,0.8394093569972967,0.31855649346163467,0.09740338076662092,0.35343383584589616
CSGS6,q3_2020,1,weather_outage,5888,597,0.10139266304347826,0.8712330948511853,0.37519848660426075,0.11604429847638863,0.4020100502512563
CSGS6,q3_2020,4,clean,5888,716,0.12160326086956522,0.8669625227373869,0.46820849247549223,0.11124241667170319,0.38687150837988826
CSGS6,q3_2020,4,combined_outage,5888,716,0.12160326086956522,0.6172490354163156,0.1835647938183507,0.16061702322830032,0.16899441340782123
CSGS6,q3_2020,4,irradiance_outage,5888,716,0.12160326086956522,0.8408909491157803,0.35312490447955136,0.11617724609664783,0.2988826815642458
CSGS6,q3_2020,4,recent_power_outage,5888,716,0.12160326086956522,0.802721708425687,0.3194418610928082,0.12903655330414165,0.28631284916201116
CSGS6,q3_2020,4,weather_outage,5888,716,0.12160326086956522,0.8655676299541579,0.4604192708683831,0.11980617075593289,0.388268156424581
CSGS6,q4_2020,1,clean,5888,304,0.051630434782608696,0.9295967802744683,0.4005023775302358,0.059854701318280835,0.6776315789473685
CSGS6,q4_2020,1,combined_outage,5888,304,0.051630434782608696,0.8036409831661891,0.14695216690522409,0.1225968629564538,0.29605263157894735
CSGS6,q4_2020,1,irradiance_outage,5888,304,0.051630434782608696,0.8872459847685117,0.30441834699694587,0.09708665057464116,0.5855263157894737
CSGS6,q4_2020,1,recent_power_outage,5888,304,0.051630434782608696,0.899441307872116,0.3230515000700027,0.06891098261814449,0.569078947368421
CSGS6,q4_2020,1,weather_outage,5888,304,0.051630434782608696,0.9262648921731262,0.38631060538727907,0.06354932120060258,0.6907894736842105
CSGS6,q4_2020,4,clean,5888,940,0.15964673913043478,0.9543616376270662,0.8191497753033393,0.08491284073249655,0.5351063829787234
