fold,horizon_steps,method,condition,ramp_group,n,coverage,coverage_error,mean_width,median_width,interval_score,mae,rmse,undercoverage_error,overcoverage_error,normalized_width,normalized_interval_score
q3_2020,1,robust_local_cqr,clean,non_ramp,5434,0.9626426205373574,0.06264262053735736,5.733621509172417,4.342015743255615,6.15769381682849,0.8438706476369949,1.5559285637901545,0.0,0.06264262053735736,0.11467243018344835,0.12315387633656981
q3_2020,1,robust_local_cqr,clean,ramp,454,0.6189427312775331,0.28105726872246695,14.405035789251853,15.541243314743042,33.81912708853572,6.641049989519665,7.492879175238516,0.28105726872246695,0.0,0.28810071578503704,0.6763825417707144
q3_2020,1,robust_local_cqr,combined_outage,non_ramp,5434,0.9346705925653294,0.03467059256532934,10.084066956408773,8.751072883605957,11.571429929811996,2.247109009047655,3.6724692077056735,0.0,0.03467059256532934,0.20168133912817546,0.23142859859623993
q3_2020,1,robust_local_cqr,combined_outage,ramp,454,0.7951541850220264,0.10484581497797363,18.92483381447813,19.899435997009277,29.498969928283522,6.081980268729415,7.392674375858869,0.10484581497797363,0.0,0.37849667628956263,0.5899793985656704
q3_2020,1,robust_local_cqr,irradiance_outage,non_ramp,5434,0.9674273095325727,0.0674273095325727,6.446840201765975,5.502027750015259,6.88760602526362,0.9507061432836131,1.6845960730070895,0.0,0.0674273095325727,0.1289368040353195,0.1377521205052724
q3_2020,1,robust_local_cqr,irradiance_outage,ramp,454,0.5594713656387665,0.3405286343612335,14.050664526775545,14.857239723205566,35.86280577298303,6.668354532792179,7.518191189234047,0.3405286343612335,0.0,0.2810132905355109,0.7172561154596606
q3_2020,1,robust_local_cqr,recent_power_outage,non_ramp,5434,0.9615384615384616,0.06153846153846154,10.031358540386135,8.789583802223206,10.659417501149232,1.6654795299190779,2.917877501869922,0.0,0.06153846153846154,0.2006271708077227,0.21318835002298464
q3_2020,1,robust_local_cqr,recent_power_outage,ramp,454,0.8502202643171806,0.04977973568281946,19.54490997783413,20.61159896850586,27.383528927480597,5.868141722574108,7.230445988188591,0.04977973568281946,0.0,0.3908981995566826,0.547670578549612
q3_2020,1,robust_local_cqr,weather_outage,non_ramp,5434,0.9613544350386456,0.06135443503864557,5.826816191743046,4.5428619384765625,6.2800233371305945,0.8816502171760366,1.6071666077479536,0.0,0.06135443503864557,0.11653632383486093,0.12560046674261188
q3_2020,1,robust_local_cqr,weather_outage,ramp,454,0.6255506607929515,0.2744493392070485,14.479092110227382,15.805383205413818,33.966405305174476,6.619671843650583,7.489367431165781,0.2744493392070485,0.0,0.28958184220454763,0.6793281061034895
