fold,horizon_steps,strategy,condition,n,qhat,mean_score
q4_2020,1,persistence,weather_outage,5888,4.089998000000001,1.843041489130435
q4_2020,1,lgbm,clean,5888,0.011265941011783,0.1256755357332583
q4_2020,1,lgbm,combined_outage,5888,20.08775386672819,8.451626215248421
q4_2020,1,lgbm,irradiance_outage,5888,0.8419329051982771,0.2926577148192418
q4_2020,1,lgbm,recent_power_outage,5888,17.409425079821197,6.192020181157978
q4_2020,1,lgbm,weather_outage,5888,0.0133336155253628,0.1281974491081808
q4_2020,1,clean,clean,5888,0.07752691375,0.206039166724822
q4_2020,1,clean,combined_outage,5888,20.12920173333333,7.97579843507847
q4_2020,1,clean,irradiance_outage,5888,0.0388738207792203,0.1623415676947996
q4_2020,1,clean,recent_power_outage,5888,22.5014888,6.7790565562447
q4_2020,1,clean,weather_outage,5888,0.0702994083333333,0.2016932631265219
q4_2020,1,robust,clean,5888,0.0,0.133990922620962
q4_2020,1,robust,combined_outage,5888,0.6454806142857148,0.2817737586334574
q4_2020,1,robust,irradiance_outage,5888,0.0,0.1483360652217794
q4_2020,1,robust,recent_power_outage,5888,0.0,0.128417214806865
q4_2020,1,robust,weather_outage,5888,0.0,0.1325963123058978
q4_2020,4,persistence,clean,5888,11.264335000000004,5.104778432065217
q4_2020,4,persistence,combined_outage,5888,26.579133,12.549612398607335
q4_2020,4,persistence,irradiance_outage,5888,11.264335000000004,5.104778432065217
q4_2020,4,persistence,recent_power_outage,5888,26.579133,12.549612398607335
q4_2020,4,persistence,weather_outage,5888,11.264335000000004,5.104778432065217
q4_2020,4,lgbm,clean,5888,0.001014116939082,0.1038838728774229
q4_2020,4,lgbm,combined_outage,5888,5.76357748659926,1.996844872665826
q4_2020,4,lgbm,irradiance_outage,5888,0.9764395368584856,0.2736947529987995
q4_2020,4,lgbm,recent_power_outage,5888,3.970719671013839,0.9088673741478478
q4_2020,4,lgbm,weather_outage,5888,0.0,0.094562533641324
q4_2020,4,clean,clean,5888,0.5990800636363636,0.3358746967908076
q4_2020,4,clean,combined_outage,5888,13.326076986666669,3.766692885141615
q4_2020,4,clean,irradiance_outage,5888,0.7168877966666667,0.2903349526472997
q4_2020,4,clean,recent_power_outage,5888,13.955867866666663,3.502668424249691
q4_2020,4,clean,weather_outage,5888,0.5562283395833312,0.318953993414649
q4_2020,4,robust,clean,5888,0.1618655015744678,0.2164082774315145
q4_2020,4,robust,combined_outage,5888,1.0664768584712387,0.3672316481427232
q4_2020,4,robust,irradiance_outage,5888,0.3227665549114329,0.2433059536775368
q4_2020,4,robust,recent_power_outage,5888,0.1700057872177076,0.197877885837217
q4_2020,4,robust,weather_outage,5888,0.0477966691316567,0.1954574039278501
