fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score
q2_2020,1,lgbm_condition_cqr,0.4565476190476191,0.15045432458697766,0.3918659068543878,0.6139001018780176
q2_2020,1,oracle_ramp_mondrian,0.054336734693877564,0.027162293488824096,0.283909747602736,0.37655433712700304
q2_2020,1,persistence_condition_cqr,0.9,0.3147023809523809,0.3781949489932864,0.9704488671101714
q2_2020,1,robust_condition_cqr,0.4089285714285715,0.19171768707482995,0.19881856590342278,0.4995174126871163
q2_2020,1,robust_local_cqr,0.3464285714285714,0.14435131195335277,0.24397025666537503,0.45633788356282456
q2_2020,1,robust_risk_mondrian,0.37916666666666665,0.17809402332361518,0.20565874004303386,0.4828330276870534
q2_2020,1,robust_rolling_cqr,0.4,0.16548833819241984,0.21732420046749046,0.4757294630081194
q2_2020,4,clean_condition_cqr,0.18671328671328669,0.06307558061484762,0.3776646065830539,0.5892889357275989
q2_2020,4,lgbm_condition_cqr,0.09463869463869468,0.04972967695480783,0.3666835963793493,0.4489533410043693
q2_2020,4,oracle_ramp_mondrian,0.06317016317016322,0.039054662614872074,0.2230720374286558,0.420472888834618
q2_2020,4,persistence_condition_cqr,0.14708624708624707,0.10080254823710319,0.5865092988178724,0.7173786576028702
q2_2020,4,robust_condition_cqr,0.12027972027972034,0.06311463405704246,0.20183730275529,0.4348502759508067
q2_2020,4,robust_local_cqr,0.051515151515151514,0.0235110264953197,0.2478913736037966,0.39564811687927703
q2_2020,4,robust_risk_mondrian,0.06899766899766901,0.034715947229036245,0.22178382821069187,0.4196226363116643
q2_2020,4,robust_rolling_cqr,0.09230769230769231,0.04198000951927655,0.2303034559360421,0.40894368514061
q3_2020,1,clean_condition_cqr,0.5651982378854625,0.17266032599443215,0.40196616948091746,0.6659257178144273
q3_2020,1,lgbm_condition_cqr,0.4088105726872247,0.1335076261554351,0.39906682701228535,0.5761670074895531
q3_2020,1,oracle_ramp_mondrian,0.0,0.033819206529616876,0.2962183238691956,0.3433462448958003
q3_2020,1,persistence_condition_cqr,0.9,0.29728814658561936,0.3417541859639257,0.9836028482741778
q3_2020,1,robust_condition_cqr,0.426431718061674,0.172701249596682,0.21279088721671507,0.4462485964913966
q3_2020,1,robust_local_cqr,0.3405286343612335,0.13382942121639085,0.23905447923608678,0.4041740152652825
q3_2020,1,robust_risk_mondrian,0.3295154185022027,0.14247890991456952,0.2350325151146108,0.41133154139396916
q3_2020,1,robust_rolling_cqr,0.426431718061674,0.17643325837158436,0.20525599417310145,0.4527072348181716
q3_2020,4,clean_condition_cqr,0.1547452547452548,0.05578883976674032,0.39160896955793983,0.53495394501226
q3_2020,4,lgbm_condition_cqr,0.0878121878121878,0.04240114295362914,0.3478633539102101,0.4005234680616674
q3_2020,4,oracle_ramp_mondrian,0.0,0.0297745839182303,0.2623084993109959,0.3337584361142608
q3_2020,4,persistence_condition_cqr,0.6142857142857143,0.25076165904895187,0.5155740844639616,0.8241797967475071
q3_2020,4,robust_condition_cqr,0.07982017982017986,0.040639336108949355,0.2290602917294194,0.3355205151593599
q3_2020,4,robust_local_cqr,0.013886113886113938,0.026821563948635784,0.2576326523103717,0.33032363010781096
q3_2020,4,robust_risk_mondrian,0.018881118881118875,0.02838045114288207,0.25624098582079025,0.3413647401196096
q3_2020,4,robust_rolling_cqr,0.08681318681318684,0.03558285381489801,0.21137752071834864,0.33778704879516863
q4_2020,1,clean_condition_cqr,0.57816091954023,0.17107763807626872,0.3792650109734723,0.5762212877982241
q4_2020,1,lgbm_condition_cqr,0.5235632183908046,0.15296174115108513,0.37641957278421606,0.5187293905982869
q4_2020,1,oracle_ramp_mondrian,0.00919540229885063,0.03588136437196562,0.24816167096063838,0.30598741531764667
q4_2020,1,persistence_condition_cqr,0.9,0.34658450558114445,0.3302252024274498,0.8741135440643717
q4_2020,1,robust_condition_cqr,0.33678160919540234,0.1667706128885016,0.16752829263853686,0.3776404663556723
q4_2020,1,robust_local_cqr,0.23908045977011494,0.12542325407693264,0.18788038236046764,0.35120940924285826
q4_2020,1,robust_risk_mondrian,0.2333333333333334,0.12452134943358648,0.18497810211017987,0.35523209185472604
q4_2020,1,robust_rolling_cqr,0.33678160919540234,0.16637785800240673,0.16922400210516275,0.3773258682633486
q4_2020,4,clean_condition_cqr,0.18976784178847805,0.07609149845091374,0.3830592275450265,0.5117539918127436
q4_2020,4,lgbm_condition_cqr,0.2791917454858126,0.0894842839400019,0.36121162264733464,0.42711349506872764
q4_2020,4,oracle_ramp_mondrian,0.034995700773860716,0.026240620180431006,0.2172896190396684,0.3382802162815909
q4_2020,4,persistence_condition_cqr,0.7314703353396389,0.31017099546420274,0.49201112368780164,1.0809803712411816
q4_2020,4,robust_condition_cqr,0.15365434221840069,0.0712169312169312,0.19237232845712574,0.3547132091091922
q4_2020,4,robust_local_cqr,0.06938950988822012,0.05130746518536716,0.2161616383138064,0.33872259605162053
q4_2020,4,robust_risk_mondrian,0.10034393809114361,0.0553004044457183,0.20306456875977247,0.348943720261511
q4_2020,4,robust_rolling_cqr,0.14677558039552885,0.07893047992102162,0.19327337554597018,0.35414953406561367
