fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q1_2020,1,robust_rolling_cqr,combined_outage,up,133,0.6992481203007519,0.20075187969924813,12.365160942077637,26.70475196838379
q1_2020,1,robust_rolling_cqr,irradiance_outage,down,124,0.5645161290322581,0.3354838709677419,11.128734588623047,37.173858642578125
q1_2020,1,robust_rolling_cqr,irradiance_outage,up,133,0.5037593984962406,0.3962406015037594,10.410749435424805,32.34138107299805
q1_2020,1,robust_rolling_cqr,recent_power_outage,down,124,0.717741935483871,0.18225806451612903,13.520808219909668,36.21049499511719
q1_2020,1,robust_rolling_cqr,recent_power_outage,up,133,0.7518796992481203,0.14812030075187976,13.126466751098633,22.225996017456055
q1_2020,1,robust_rolling_cqr,weather_outage,down,124,0.5403225806451613,0.35967741935483877,10.404438972473145,37.38151931762695
q1_2020,1,robust_rolling_cqr,weather_outage,up,133,0.5939849624060151,0.30601503759398496,10.352509498596191,28.864728927612305
q1_2020,4,clean_condition_cqr,clean,down,620,0.8758064516129033,0.024193548387096753,10.142961502075195,30.124454498291016
q1_2020,4,clean_condition_cqr,clean,up,611,0.8216039279869067,0.07839607201309329,11.423097610473633,22.779193878173828
q1_2020,4,clean_condition_cqr,combined_outage,down,620,0.9935483870967742,0.0,25.333602905273438,25.45770835876465
q1_2020,4,clean_condition_cqr,combined_outage,up,611,0.9639934533551555,0.0,37.46426773071289,41.213844299316406
q1_2020,4,clean_condition_cqr,irradiance_outage,down,620,0.8838709677419355,0.016129032258064502,12.5542573928833,27.39589500427246
q1_2020,4,clean_condition_cqr,irradiance_outage,up,611,0.8036006546644845,0.09639934533551553,12.837078094482422,25.526500701904297
q1_2020,4,clean_condition_cqr,recent_power_outage,down,620,1.0,0.0,26.038488388061523,26.038488388061523
q1_2020,4,clean_condition_cqr,recent_power_outage,up,611,0.9607201309328969,0.0,38.1788444519043,43.111026763916016
q1_2020,4,clean_condition_cqr,weather_outage,down,620,0.8661290322580645,0.03387096774193554,11.850890159606934,31.76040267944336
q1_2020,4,clean_condition_cqr,weather_outage,up,611,0.7855973813420621,0.11440261865793788,13.602206230163574,26.240476608276367
q1_2020,4,lgbm_condition_cqr,clean,down,620,0.8612903225806452,0.03870967741935483,11.44640827178955,18.44544219970703
