fold,horizon_steps,method_base,condition,ramp_group,n_base,coverage_base,coverage_error_base,mean_width_base,median_width_base,interval_score_base,mae_base,rmse_base,undercoverage_error_base,overcoverage_error_base,normalized_width_base,normalized_interval_score_base,method_local,n_local,coverage_local,coverage_error_local,mean_width_local,median_width_local,interval_score_local,mae_local,rmse_local,undercoverage_error_local,overcoverage_error_local,normalized_width_local,normalized_interval_score_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
q3_2020,1,robust_condition_cqr,clean,non_ramp,5434,0.9525211630474788,0.0525211630474787,5.2872542686844834,4.255568504333496,5.858692247799524,0.8438706476369949,1.5559285637901543,0.0,0.0525211630474787,0.1057450853736896,0.1171738449559904,robust_local_cqr,5434,0.9626426205373574,0.0626426205373573,5.733621509172417,4.342015743255615,6.15769381682849,0.8438706476369949,1.5559285637901543,0.0,0.0626426205373573,0.1146724301834483,0.1231538763365698,0.0,-0.010121457489878596,0.2990015690289667,0.44636724048793397
q3_2020,1,robust_condition_cqr,clean,ramp,454,0.5286343612334802,0.3713656387665198,12.77687426357805,13.042555332183838,38.64035117645884,6.641049989519665,7.492879175238516,0.3713656387665198,0.0,0.255537485271561,0.7728070235291767,robust_local_cqr,454,0.6189427312775331,0.2810572687224669,14.405035789251851,15.541243314743042,33.81912708853572,6.641049989519665,7.492879175238516,0.2810572687224669,0.0,0.288100715785037,0.6763825417707144,0.0903083700440529,0.0903083700440529,-4.82122408792312,1.6281615256738018
q3_2020,1,robust_condition_cqr,combined_outage,non_ramp,5434,0.944055944055944,0.044055944055944,10.2219836458704,10.796845853328705,12.314284782395498,2.247109009047655,3.6724692077056735,0.0,0.044055944055944,0.204439672917408,0.2462856956479099,robust_local_cqr,5434,0.9346705925653294,0.0346705925653293,10.084066956408773,8.751072883605957,11.571429929811996,2.247109009047655,3.6724692077056735,0.0,0.0346705925653293,0.2016813391281754,0.2314285985962399,0.0,0.009385351490614702,-0.7428548525835019,-0.13791668946162794
q3_2020,1,robust_condition_cqr,combined_outage,ramp,454,0.7312775330396476,0.1687224669603524,16.313806259947203,16.207038640975952,33.00107927285627,6.081980268729415,7.392674375858869,0.1687224669603524,0.0,0.326276125198944,0.6600215854571254,robust_local_cqr,454,0.7951541850220264,0.1048458149779736,18.92483381447813,19.89943599700928,29.49896992828352,6.081980268729415,7.392674375858869,0.1048458149779736,0.0,0.3784966762895626,0.5899793985656704,0.0638766519823788,0.0638766519823788,-3.502109344572755,2.611027554530928
q3_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5434,0.9556496135443504,0.0556496135443503,5.967694209848922,5.3626344203948975,6.634877663449865,0.9507061432836132,1.6845960730070897,0.0,0.0556496135443503,0.1193538841969784,0.1326975532689973,robust_local_cqr,5434,0.9674273095325728,0.0674273095325727,6.446840201765975,5.502027750015259,6.88760602526362,0.9507061432836132,1.6845960730070897,0.0,0.0674273095325727,0.1289368040353195,0.1377521205052724,0.0,-0.011777695988222397,0.25272836181375524,0.4791459919170533
q3_2020,1,robust_condition_cqr,irradiance_outage,ramp,454,0.473568281938326,0.426431718061674,12.427303356705192,12.50069260597229,41.68609025873375,6.668354532792179,7.518191189234047,0.426431718061674,0.0,0.2485460671341038,0.833721805174675,robust_local_cqr,454,0.5594713656387665,0.3405286343612335,14.050664526775543,14.857239723205566,35.86280577298303,6.668354532792179,7.518191189234047,0.3405286343612335,0.0,0.2810132905355109,0.7172561154596606,0.08590308370044053,0.08590308370044053,-5.823284485750719,1.6233611700703516
q3_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5434,0.9646669120353332,0.064666912035333,8.937690286025951,9.212567448616028,10.140435458860368,1.665479529919078,2.917877501869922,0.0,0.064666912035333,0.178753805720519,0.2028087091772073,robust_local_cqr,5434,0.9615384615384616,0.0615384615384615,10.031358540386137,8.789583802223206,10.659417501149232,1.665479529919078,2.917877501869922,0.0,0.0615384615384615,0.2006271708077227,0.2131883500229846,0.0,0.0031284504968714932,0.5189820422888634,1.0936682543601854
q3_2020,1,robust_condition_cqr,recent_power_outage,ramp,454,0.751101321585903,0.1488986784140969,16.142031548503738,16.390448570251465,30.62572841805771,5.868141722574108,7.230445988188591,0.1488986784140969,0.0,0.3228406309700747,0.6125145683611543,robust_local_cqr,454,0.8502202643171806,0.0497797356828194,19.54490997783413,20.61159896850586,27.3835289274806,5.868141722574108,7.230445988188591,0.0497797356828194,0.0,0.3908981995566826,0.547670578549612,0.0991189427312775,0.0991189427312775,-3.2421994905771108,3.402878429330393
q3_2020,1,robust_condition_cqr,weather_outage,non_ramp,5434,0.9519690835480308,0.0519690835480308,5.408405720393091,4.430450797080994,6.033260359213075,0.8816502171760366,1.6071666077479536,0.0,0.0519690835480308,0.1081681144078618,0.1206652071842614,robust_local_cqr,5434,0.9613544350386456,0.0613544350386455,5.826816191743046,4.5428619384765625,6.2800233371305945,0.8816502171760366,1.6071666077479536,0.0,0.0613544350386455,0.1165363238348609,0.1256004667426118,0.0,-0.009385351490614702,0.24676297791751978,0.41841047134995524
q3_2020,1,robust_condition_cqr,weather_outage,ramp,454,0.5572687224669604,0.3427312775330396,12.9124000488005,13.196477890014648,38.18949860787339,6.619671843650583,7.489367431165781,0.3427312775330396,0.0,0.25824800097601,0.7637899721574678,robust_local_cqr,454,0.6255506607929515,0.2744493392070485,14.479092110227382,15.805383205413818,33.96640530517448,6.619671843650583,7.489367431165781,0.2744493392070485,0.0,0.2895818422045476,0.6793281061034895,0.06828193832599111,0.06828193832599111,-4.223093302698906,1.5666920614268829
q3_2020,4,robust_condition_cqr,clean,non_ramp,4887,0.9310415387763454,0.0310415387763454,8.965235164414361,8.477425038814545,11.03574676332046,2.014391310161215,3.4052932128970395,0.0,0.0310415387763454,0.1793047032882872,0.2207149352664091,robust_local_cqr,4887,0.9377941477388992,0.0377941477388991,10.111317326784029,8.980077028274536,11.269219747362214,2.014391310161215,3.4052932128970395,0.0,0.0377941477388991,0.2022263465356805,0.2253843949472443,0.0,-0.0067526089625537,0.23347298404175376,1.1460821623696678
