horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
1,0.1,robust_risk_mondrian,weather_outage,ramp,1395,0.6057347670250897,0.29426523297491036,12.550361633300781
1,0.1,robust_rolling_cqr,clean,non_ramp,22029,0.9565118707158745,0.0,4.92024564743042
1,0.1,robust_rolling_cqr,clean,ramp,1395,0.5390681003584229,0.3609318996415771,11.44876480102539
1,0.1,robust_rolling_cqr,combined_outage,non_ramp,22029,0.9202868945480956,0.0,8.642821311950684
1,0.1,robust_rolling_cqr,combined_outage,ramp,1395,0.6738351254480287,0.22616487455197132,14.605423927307129
1,0.1,robust_rolling_cqr,irradiance_outage,non_ramp,22029,0.9572381860275092,0.0,5.508090019226074
1,0.1,robust_rolling_cqr,irradiance_outage,ramp,1395,0.5275985663082438,0.37240143369175627,11.709946632385254
1,0.1,robust_rolling_cqr,recent_power_outage,non_ramp,22029,0.9317717554133188,0.0,8.268309593200684
1,0.1,robust_rolling_cqr,recent_power_outage,ramp,1395,0.7405017921146954,0.15949820788530467,14.809246063232422
1,0.1,robust_rolling_cqr,weather_outage,non_ramp,22029,0.9575105542693721,0.0,5.073295593261719
1,0.1,robust_rolling_cqr,weather_outage,ramp,1395,0.5483870967741935,0.3516129032258065,11.575897216796875
1,0.15,robust_condition_cqr,clean,non_ramp,22877,0.9454473925776982,0.0,5.114871025085449
1,0.15,robust_condition_cqr,clean,ramp,547,0.31444241316270566,0.5855575868372944,12.815679550170898
1,0.15,robust_condition_cqr,combined_outage,non_ramp,22877,0.9089915635791406,0.0,8.392776489257812
1,0.15,robust_condition_cqr,combined_outage,ramp,547,0.5246800731261426,0.3753199268738574,15.19333267211914
1,0.15,robust_condition_cqr,irradiance_outage,non_ramp,22877,0.9459719368798356,0.0,5.692575454711914
1,0.15,robust_condition_cqr,irradiance_outage,ramp,547,0.30347349177330896,0.5965265082266911,12.752406120300293
1,0.15,robust_condition_cqr,recent_power_outage,non_ramp,22877,0.9155483673558596,0.0,7.820000648498535
1,0.15,robust_condition_cqr,recent_power_outage,ramp,547,0.5703839122486288,0.3296160877513712,15.274356842041016
1,0.15,robust_condition_cqr,weather_outage,non_ramp,22877,0.9466713292826857,0.0,5.268276214599609
1,0.15,robust_condition_cqr,weather_outage,ramp,547,0.3290676416819013,0.5709323583180987,12.916640281677246
1,0.15,robust_local_cqr,clean,non_ramp,22877,0.9607903134152205,0.0,5.567309856414795
1,0.15,robust_local_cqr,clean,ramp,547,0.38939670932358317,0.5106032906764169,14.330536842346191
1,0.15,robust_local_cqr,combined_outage,non_ramp,22877,0.9315032565458757,0.0,9.360147476196289
1,0.15,robust_local_cqr,combined_outage,ramp,547,0.6416819012797075,0.25831809872029254,18.964553833007812
1,0.15,robust_local_cqr,irradiance_outage,non_ramp,22877,0.963019626699305,0.0,6.2013115882873535
1,0.15,robust_local_cqr,irradiance_outage,ramp,547,0.3930530164533821,0.5069469835466179,14.329938888549805
1,0.15,robust_local_cqr,recent_power_outage,non_ramp,22877,0.9418630065130917,0.0,9.094255447387695
1,0.15,robust_local_cqr,recent_power_outage,ramp,547,0.7074954296160878,0.19250457038391222,18.975374221801758
1,0.15,robust_local_cqr,weather_outage,non_ramp,22877,0.9608340254403986,0.0,5.709829807281494
1,0.15,robust_local_cqr,weather_outage,ramp,547,0.3930530164533821,0.5069469835466179,14.369977951049805
1,0.15,robust_risk_mondrian,clean,non_ramp,22877,0.9539712374874328,0.0,5.3836164474487305
1,0.15,robust_risk_mondrian,clean,ramp,547,0.36380255941499084,0.5361974405850092,13.826087951660156
1,0.15,robust_risk_mondrian,combined_outage,non_ramp,22877,0.9154609433055033,0.0,8.921113014221191
1,0.15,robust_risk_mondrian,combined_outage,ramp,547,0.5996343692870201,0.30036563071297995,16.96040153503418
1,0.15,robust_risk_mondrian,irradiance_outage,non_ramp,22877,0.9558071425449141,0.0,6.047015190124512
1,0.15,robust_risk_mondrian,irradiance_outage,ramp,547,0.3692870201096892,0.5307129798903107,14.047104835510254
1,0.15,robust_risk_mondrian,recent_power_outage,non_ramp,22877,0.9216243388556192,0.0,8.179306983947754
1,0.15,robust_risk_mondrian,recent_power_outage,ramp,547,0.6124314442413162,0.2875685557586838,16.399309158325195
